scenario_id,grid_size,route_bucket,scenario_family,success,collision,timeout,two_cell_oscillation,longer_loop,excessive_detour,failure_label,post_change_completion,dynamic_event_count,path_cost,fresh_astar_cost,path_cost_gap,decisions,mean_decision_latency_ms,decision_computation_seconds,episode_computation_seconds
VAL2-G015-EMPTY-SHORT-01,15,short,empty,False,False,True,False,False,True,excessive_detour,,0,,3.0,,30,3.3378566770503917,0.10013570031151175,0.15429500001482666
VAL2-G015-EMPTY-SHORT-02,15,short,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,4.242640687119286,,30,3.9651366610390446,0.11895409983117133,0.16582580003887415
VAL2-G015-EMPTY-MEDIUM-01,15,medium,empty,False,False,True,False,True,True,longer_repeated_loop,,0,,10.0,,40,3.378502497798763,0.13514009991195053,0.19513940007891506
VAL2-G015-EMPTY-MEDIUM-02,15,medium,empty,False,False,True,False,False,True,excessive_detour,,0,,7.82842712474619,,32,3.7547374959103763,0.12015159986913204,0.17529259994626045
VAL2-G015-EMPTY-LONG-01,15,long,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,14.485281374238571,,58,3.8820344810213507,0.22515799989923835,0.3208792000077665
VAL2-G015-EMPTY-LONG-02,15,long,empty,False,False,True,False,True,True,longer_repeated_loop,,0,,12.485281374238571,,50,4.6975739928893745,0.23487869964446872,0.3249115999788046
VAL2-G015-RANDOM_STATIC-SHORT-01,15,short,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,4.414213562373095,,30,5.402513333441068,0.16207540000323206,0.2207404999062419
VAL2-G015-RANDOM_STATIC-SHORT-02,15,short,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,4.414213562373095,,30,5.360109979907672,0.16080329939723015,0.21925720002036542
VAL2-G015-RANDOM_STATIC-MEDIUM-01,15,medium,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,6.414213562373095,,30,3.8714833518800638,0.11614450055640191,0.1654100000159815
VAL2-G015-RANDOM_STATIC-MEDIUM-02,15,medium,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,9.414213562373096,,38,3.0124868437843886,0.11447450006380677,0.17046359996311367
VAL2-G015-RANDOM_STATIC-LONG-01,15,long,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,11.656854249492381,,47,3.2347595700597824,0.15203369979280978,0.22227959998417646
VAL2-G015-RANDOM_STATIC-LONG-02,15,long,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,14.071067811865476,,57,4.4603877202526,0.2542421000543982,0.34057090000715107
VAL2-G015-STRUCTURED-SHORT-01,15,short,structured,False,False,True,False,True,True,longer_repeated_loop,,0,,3.414213562373095,,30,3.743283341949185,0.11229850025847554,0.16252070001792163
VAL2-G015-STRUCTURED-SHORT-02,15,short,structured,False,False,True,True,True,True,two_cell_oscillation,,0,,3.0,,30,3.735776684091737,0.1120733005227521,0.15469820005819201
VAL2-G015-STRUCTURED-MEDIUM-01,15,medium,structured,False,False,True,True,True,True,two_cell_oscillation,,0,,8.485281374238571,,34,3.188941182623453,0.1084240002091974,0.15643139998428524
VAL2-G015-STRUCTURED-MEDIUM-02,15,medium,structured,True,False,False,False,False,False,success,,0,6.0,6.0,0.0,6,3.7980833440087736,0.02278850006405264,0.03508609998971224
VAL2-G015-STRUCTURED-LONG-01,15,long,structured,False,False,True,True,True,True,two_cell_oscillation,,0,,15.313708498984763,,62,3.5244419310812747,0.21851539972703904,0.3196764999302104
VAL2-G015-STRUCTURED-LONG-02,15,long,structured,False,False,True,True,True,True,two_cell_oscillation,,0,,11.071067811865476,,45,3.6211488794328437,0.16295169957447797,0.2500352000351995
VAL2-G015-DYNAMIC-SHORT-01,15,short,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,9,,3.414213562373095,,30,2.965563341664771,0.08896690024994314,0.154333500075154
VAL2-G015-DYNAMIC-SHORT-02,15,short,dynamic,False,False,True,False,False,True,excessive_detour,False,8,,5.82842712474619,,30,2.894876676145941,0.08684630028437823,0.14621679997071624
VAL2-G015-DYNAMIC-MEDIUM-01,15,medium,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,12,,10.414213562373096,,42,3.003002371683362,0.1261260996107012,0.1926703000208363
VAL2-G015-DYNAMIC-MEDIUM-02,15,medium,dynamic,False,False,True,False,True,True,longer_repeated_loop,False,10,,8.485281374238571,,34,2.662335293066195,0.09051939996425062,0.15120920003391802
VAL2-G015-DYNAMIC-LONG-01,15,long,dynamic,False,False,True,False,True,True,longer_repeated_loop,False,12,,10.899494936611667,,44,3.1873931769620287,0.14024529978632927,0.22717059997376055
VAL2-G015-DYNAMIC-LONG-02,15,long,dynamic,False,False,True,False,True,True,longer_repeated_loop,False,13,,11.65685424949238,,47,2.691144678503909,0.12648379988968372,0.20710959995631129
