time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/episodes,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
2989,4,4.16,712,-1.2793313199999998,0.01,730,0.9810696666666667,,,
3031,4,4.12,712,-1.2752686500000001,0.01,740,0.9808036666666666,,,
3089,4,4.4,716,-1.2999740200000005,0.01,750,0.9804363333333335,,,
3124,4,4.43,716,-1.30257357,0.01,760,0.9802146666666666,,,
3172,4,4.55,719,-1.3127392200000003,0.01,770,0.9799106666666667,,,
3218,4,4.72,718,-1.3313612400000003,0.01,780,0.9796193333333334,,,
3284,4,4.78,721,-1.33614326,0.01,790,0.9792013333333334,,,
3323,4,4.67,722,-1.3266645200000002,0.01,800,0.9789543333333334,,,
3357,4,4.53,723,-1.3171610499999997,0.01,810,0.9787389999999999,,,
3387,4,4.4,722,-1.3232442,0.0,820,0.978549,,,
3419,4,4.3,722,-1.29640891,0.01,830,0.9783463333333332,,,
3442,4,4.11,720,-1.2796251500000002,0.01,840,0.9782006666666667,,,
3477,4,3.88,720,-1.2612553000000002,0.01,850,0.977979,,,
3511,4,3.87,720,-1.23824388,0.02,860,0.9777636666666667,,,
3543,4,3.71,720,-1.22658154,0.02,870,0.977561,,,
3573,4,3.55,720,-1.1880806800000001,0.03,880,0.977371,,,
3610,5,3.26,720,-1.15973609,0.03,890,0.9771366666666667,,,
3648,5,3.25,721,-1.1415803300000003,0.04,900,0.9768960000000001,,,
3712,5,3.55,724,-1.17551555,0.04,910,0.9764906666666666,,,
3765,5,3.78,726,-1.1964383299999999,0.04,920,0.9761550000000001,,,
3798,5,3.79,726,-1.2176704000000003,0.03,930,0.975946,,,
3836,5,3.94,726,-1.23181073,0.03,940,0.9757053333333334,,,
3884,5,4.07,728,-1.2178543700000002,0.04,950,0.9754013333333333,,,
3918,5,4.07,728,-1.2404472199999999,0.03,960,0.9751860000000001,,,
3955,5,4.12,728,-1.24186325,0.03,970,0.9749516666666667,,,
3993,5,4.2,728,-1.27109211,0.02,980,0.9747109999999999,,,
4034,5,4.24,729,-1.2757869499999999,0.02,990,0.9744513333333332,,,
4091,5,4.43,730,-1.3129085699999998,0.01,1000,0.9740903333333334,,,
4131,5,4.19,730,-1.28026074,0.01,1010,0.9738370000000001,,,
4166,5,4.01,730,-1.26516139,0.01,1020,0.9736153333333333,,,
4213,5,4.15,731,-1.2761009600000002,0.01,1030,0.9733176666666667,,,
4253,5,4.17,731,-1.28041852,0.01,1040,0.9730643333333334,,,
4295,5,4.11,731,-1.2973595100000004,0.0,1050,0.9727983333333334,,,
4347,5,4.29,733,-1.3123418800000002,0.0,1060,0.972469,,,
4374,5,4.19,732,-1.3022582400000002,0.0,1070,0.9722979999999999,,,
4399,6,4.06,730,-1.29059231,0.0,1080,0.9721396666666666,,,
4454,6,4.2,732,-1.3029123600000003,0.0,1090,0.9717913333333333,,,
4477,6,3.86,731,-1.2710225300000002,0.0,1100,0.9716456666666667,,,
4540,6,4.09,733,-1.29882563,0.0,1110,0.9712466666666667,,,
4575,6,4.09,733,-1.3006156799999997,0.0,1120,0.971025,,,
4631,6,4.18,735,-1.3111424500000004,0.0,1130,0.9706703333333333,,,
4658,6,4.05,733,-1.2974214899999996,0.0,1140,0.9704993333333333,,,
4691,6,3.96,732,-1.2672701700000002,0.01,1150,0.9702903333333334,,,
4713,6,3.66,730,-1.2411921700000002,0.01,1160,0.970151,,,
