#{"t_start": 1784343020.691273, "env_id": "None"}
r,l,t
-2.691514,18,9.646398
2.44799,5,9.673887
1.541127,10,9.701638
-3.560437,4,9.716697
-1.233604,9,9.770149
-0.405786,2,9.784891
-1.132082,5,9.79791
0.386123,5,9.847587
-3.416447,10,9.876849
-0.876863,1,9.888059
-0.961716,3,9.890505
-0.897574,1,9.900274
0.325563,9,9.919243
-1.138507,6,9.945449
0.136569,2,9.960634
-0.985858,1,9.962257
-0.907574,1,9.968125
-2.209361,2,9.985621
-0.851005,1,9.999796
1.114781,6,10.052319
0.56598,7,10.085465
-0.893431,1,10.096662
-0.866863,1,10.107102
-0.937574,1,10.111128
-0.961716,1,10.114409
-1.754437,3,10.126859
-2.006518,2,10.154375
-0.948944,4,10.18826
0.094996,3,10.206212
0.401421,3,10.234939
-2.221076,2,10.245569
-0.899289,1,10.252736
-0.897574,1,10.259058
-0.98,2,10.26115
-1.332649,2,10.276209
-1.102082,6,10.295299
-2.033087,5,10.313216
-3.227645,4,10.322755
-0.891716,6,10.327075
-2.042082,5,10.351903
-0.941716,1,10.358325
0.482498,5,10.362504
1.689777,4,10.380099
-0.951716,1,10.384451
-0.881005,1,10.399311
-0.372649,2,10.425567
-0.857574,1,10.439311
-3.12997,41,10.787731
-1.871716,2,10.79674
0.056569,3,10.801044
-3.205929,3,10.814913
-1.495736,7,10.857086
-0.649533,4,10.903382
-1.694386,4,10.948011
-1.399584,5,10.991365
-1.323604,5,11.026255
-0.901716,1,11.038006
-2.092792,2,11.060599
-0.897574,1,11.073961
-0.43267,6,11.132379
0.395219,27,11.265621
-2.132792,2,11.283506
-0.955858,1,11.287808
1.597027,12,11.38479
-0.93,1,11.391743
0.529066,3,11.404685
-0.961716,1,11.408002
-0.846863,1,11.422687
-0.132792,2,11.445288
-0.941716,1,11.452475
3.62791,6,11.485532
1.383827,13,11.573798
0.201421,2,11.594011
-0.97,1,11.596365
0.675635,2,11.621418
-0.857574,1,11.633091
-2.060315,8,11.708552
0.140711,3,11.71577
-1.45201,11,11.825225
-0.955858,1,11.8278
-2.192792,2,11.841155
-1.665442,2,11.864328
-2.50196,10,11.925713
-1.385929,2,11.928585
-0.31336,4,11.952387
-0.883431,1,11.96274
-0.903431,1,11.969336
-0.913431,1,11.978459
-0.927574,4,11.98292
-1.305219,4,11.988469
-1.204508,2,12.004341
-0.975858,1,12.007094
-0.360223,5,12.022761
-0.384365,2,12.032353
0.675635,2,12.054204
-2.634386,6,12.100207
-0.887574,1,12.108499
-1.081442,5,12.16138
1.114335,5,12.211095
-1.542153,9,12.223565
-2.441644,6,12.228309
-0.945858,1,12.231532
-0.855147,1,12.24469
1.130904,8,12.29951
-0.942893,11,12.367215
-0.70066,7,12.408647
-0.56201,3,12.432209
-0.375929,3,12.435471
-0.893431,1,12.442193
-0.913431,1,12.450918
4.169869,17,12.590839
3.569819,6,12.647273
0.607351,2,12.667969
-0.835147,1,12.682301
2.0,1,12.684216
1.203137,5,12.693715
-1.776863,4,12.712966
0.325563,3,12.732312
-0.93865,4,12.767225
-2.197645,2,12.776502
-0.965858,1,12.780482
0.520265,5,12.82753
-0.901716,1,12.833945
-0.883431,1,12.848958
-3.27468,13,12.953061
-0.97,1,12.956357
-0.923431,1,12.962897
-1.021076,8,12.982764
1.494924,4,12.987643
-1.842721,3,12.9972
-0.400934,2,13.013021
-1.521644,3,13.016634
-1.870366,4,13.050999
-2.182082,3,13.062033
1.283137,5,13.074093
2.950854,4,13.081844
2.931636,7,13.121986
-1.910152,2,13.147726
-1.249361,2,13.156199
-2.241076,2,13.174115
0.144853,2,13.184498
-0.901716,1,13.194921
-0.92,1,13.20247
-1.578873,3,13.229793
-1.163797,4,13.24527
2.102275,10,13.261984
-0.24537,9,13.279499
2.580984,5,13.316128
-1.72201,2,13.33746
-2.289361,2,13.351823
-0.849289,3,13.361926
-0.895147,1,13.374221
-2.232792,2,13.390995
-0.903431,1,13.400366
-0.873431,1,13.412704
-1.540437,3,13.437431
-0.941716,1,13.444858
-1.469218,2,13.455855
-0.399218,3,13.472721
-0.907574,1,13.482056
-0.97,1,13.485987
-1.409218,2,13.506055
-3.345635,11,13.615145
-0.907574,1,13.625766
-2.297645,6,13.632229
-2.084508,2,13.65508
-0.725299,3,13.695261
-0.887574,4,13.704011
-2.132792,2,13.728869
-0.899289,3,13.737222
-2.652031,10,13.817958
-2.247817,9,13.908706
-0.349218,2,13.929764
-0.832721,1,13.94538
-0.938944,6,13.9871
-0.951716,1,13.992499
-0.350589,4,14.034681
-0.971716,1,14.03794
-0.847574,1,14.05305
-0.955858,1,14.059361
-0.917574,1,14.071533
-0.684437,3,14.105411
-0.971716,1,14.109687
-0.905858,1,14.121528
-0.965858,1,14.124503
1.879239,24,14.282541
-1.184508,2,14.296179
-2.026224,3,14.323725
-0.490589,6,14.374951
-1.388579,6,14.419541
0.382132,4,14.447217
-4.276266,15,14.578781
-0.181939,4,14.607393
-0.903431,1,14.61721
-0.814437,1,14.631399
-1.04463,20,14.798469
-1.644437,4,14.840899
0.247128,3,14.877624
-2.333503,3,14.883971
-0.723726,3,14.896631
0.098995,3,14.90444
1.593209,9,14.914327
-0.893087,10,14.9387
-0.676863,3,14.956992
0.207918,5,15.004425
-1.972082,3,15.042113
-2.486417,16,15.155788
1.628204,5,15.19514
-0.895147,1,15.21108
-1.357208,10,15.321737
-0.828579,1,15.336675
1.738965,11,15.39039
-1.580791,2,15.400293
-0.985858,1,15.403838
-0.889289,1,15.417154
0.449411,8,15.458397
-0.911716,1,15.467477
1.128995,4,15.477969
-0.913431,1,15.484905
-0.851716,1,15.495846
-1.281076,2,15.505092
-0.951716,1,15.510965
-0.909289,1,15.520178
-0.881005,1,15.534795
-1.826863,2,15.551491
-0.891716,2,15.561069
-0.670294,3,15.576827
-1.245076,4,15.598646
-0.937574,1,15.607364
-1.353158,4,15.641018
-1.558162,4,15.677389
-0.531299,3,15.709738
-0.861716,1,15.720161
-1.404365,2,15.732543
0.204853,2,15.746929
-0.610294,3,15.769338
-0.903431,1,15.777014
-2.297645,2,15.788357
-0.871005,1,15.806019
-0.933431,1,15.811089
-2.161076,2,15.835928
-0.728579,4,15.861618
-0.867574,1,15.876045
-2.129361,2,15.897642
-3.582864,3,15.91199
-1.164508,2,15.927358
-0.835147,1,15.944149
-1.667868,4,15.971442
4.746325,31,16.049613
-3.692519,4,16.092067
0.306274,3,16.129573
-2.180934,3,16.161541
-1.582153,8,16.174797
-1.673431,5,16.201686
1.424121,9,16.287272
-1.839289,3,16.298134
-0.325786,3,16.325722
-0.951716,1,16.329432
-0.913431,1,16.341663
-0.903431,1,16.350471
-0.859289,1,16.364537
-2.98865,3,16.400609
0.565563,6,16.452349
3.497279,5,16.479751
1.119138,4,16.501461
-0.947574,1,16.506478
-2.415076,3,16.512515
-2.261076,3,16.521804
-2.136224,2,16.537088
-0.497502,2,16.543387
-0.665442,2,16.565554
-2.064508,6,16.58658
-0.965858,1,16.5903
-3.787178,7,16.66334
-0.505442,6,16.698318
0.396274,4,16.735262
-0.99,1,16.737751
-0.99,1,16.740354
-0.965858,1,16.744883
0.994487,4,16.784877
-1.244243,27,16.854183
-1.835147,2,16.864388
-0.269167,7,16.900826
-2.39331,7,16.961786
0.185563,5,16.972558
1.257128,4,17.021953
-0.897574,1,17.029433
-1.721737,8,17.098952
3.719777,5,17.127724
-0.360294,9,17.17312
-0.96,1,17.176475
-0.855147,1,17.190847
-0.895147,1,17.199872
-0.911716,1,17.209512
-0.756863,4,17.221196
-2.726661,6,17.246364
-0.621299,3,17.274954
-2.348234,7,17.343341
-1.755807,5,17.388716
-1.535786,3,17.393637
-0.933431,1,17.398275
-0.935858,1,17.408749
-0.905858,1,17.4176
-1.871716,2,17.429762
0.469411,4,17.465198
-1.112792,2,17.486865
-1.282649,14,17.501002
-0.063289,4,17.509425
-0.899289,1,17.51714
-3.657321,7,17.578582
0.228284,2,17.597782
1.49664,3,17.604855
-0.917574,1,17.613964
0.97796,12,17.703556
1.232426,6,17.714596
-0.865147,1,17.728909
-0.545807,8,17.773035
-0.875147,2,17.783377
-0.295177,5,17.841552
8.055403,13,17.881544
6.168284,7,17.893989
-0.348162,5,17.930642
-1.271228,2,17.954301
1.64997,12,17.996103
-0.517502,2,18.000739
-0.913431,1,18.011263
-0.404437,4,18.053769
0.393553,6,18.077923
-0.859289,1,18.095932
2.414214,1,18.098046
-0.965858,1,18.101195
0.876346,3,18.138822
-0.99,1,18.140934
-1.953747,7,18.192213
0.679777,5,18.208869
-1.307797,2,18.234565
2.083869,16,18.337596
0.213137,2,18.354362
-0.899289,1,18.360516
1.511127,7,18.408903
-0.861005,1,18.421638
-1.004802,4,18.450221
0.623209,3,18.47036
-2.076224,5,18.487075
-0.985858,1,18.489007
0.134142,3,18.499754
2.944924,12,18.525469
-1.286447,16,18.568176
-1.133654,4,18.591162
-0.865147,1,18.608764
0.458356,3,18.612893
-2.64201,9,18.631451
0.204386,24,18.690915
-0.204508,2,18.706413
0.33791,17,18.881242
-0.897574,1,18.891164
-1.516955,5,18.948189
-0.426791,3,18.959422
-3.134508,3,18.984815
-0.911716,1,18.991596
-0.223503,4,19.009697
-0.109512,6,19.072736
-1.315076,4,19.092114
0.675483,5,19.161555
-0.867574,1,19.176017
-0.957574,1,19.181835
-2.221076,2,19.214972
7.186417,12,19.255588
-0.865147,1,19.275012
-1.883431,2,19.29125
0.100711,4,19.302774
-4.223431,24,19.484221
-0.961716,1,19.488081
3.014142,2,19.491014
-0.907574,1,19.499515
-0.269361,2,19.516876
0.73463,4,19.543403
-2.59672,5,19.597574
-1.397502,2,19.611625
-0.565786,2,19.614184
-2.281076,2,19.625175
-2.229361,2,19.64468
-0.60201,3,19.675646
-1.666863,3,19.698564
-0.696152,8,19.718723
-1.261939,4,19.749449
-3.183301,13,19.774663
-0.937574,1,19.784264
0.261421,2,19.804482
1.275412,6,19.849934
-0.836863,3,19.863484
-0.805147,4,19.878985
2.879462,12,19.999944
-3.743797,24,20.118693
-0.931716,1,20.126275
-0.416447,5,20.170471
-4.050732,8,20.222016
-1.639584,3,20.256945
1.600833,5,20.297261
-1.303675,14,20.355457
-0.947574,1,20.361947
-0.927574,1,20.368256
-0.901716,1,20.374475
-0.299727,7,20.398718
-0.229361,2,20.417019
-1.883431,2,20.424581
-2.053949,15,20.513321
0.645635,6,20.528763
-0.440934,2,20.545093
0.179706,4,20.556032
-1.835147,2,20.572017
3.393137,5,20.605948
0.197279,3,20.628113
0.752203,4,20.660806
-0.915858,1,20.668219
0.096569,2,20.674686
-0.865147,1,20.688835
0.533209,3,20.697026
-2.317645,2,20.705487
-1.187939,2,20.7228
-2.201076,2,20.748467
-2.272792,2,20.76509
-0.765198,10,20.866921
2.014142,2,20.869393
0.301421,2,20.893319
-2.290223,4,20.920209
0.431421,4,20.94989
-1.56529,3,20.970151
0.085046,11,21.00608
-0.859289,1,21.022492
-0.911716,1,21.032953
-2.192082,4,21.047905
-0.951716,1,21.050513
-1.280172,12,21.091216
-1.823431,2,21.100459
-0.951716,1,21.103135
-1.420934,2,21.123694
0.014487,4,21.162498
0.758061,5,21.193691
-0.925858,1,21.204956
-1.596447,11,21.299895
3.100904,5,21.343173
-3.886375,11,21.384711
-3.977868,14,21.456791
-0.941716,1,21.463836
-0.264365,2,21.489044
-0.957574,1,21.492429
-0.867939,8,21.530792
-0.275685,9,21.636166
1.760488,3,21.662896
-1.770294,2,21.682014
-0.389218,2,21.700008
-0.69201,4,21.731102
-0.548579,4,21.759103
-0.907574,1,21.767893
-0.429218,2,21.775993
0.423137,3,21.804314
-0.955858,1,21.807547
3.76058,11,21.932474
0.097918,4,21.97146
-0.793431,3,21.986685
0.539066,2,21.997763
-0.378507,3,22.020366
-0.917574,1,22.030956
-1.703726,4,22.058606
0.976913,10,22.074647
-0.897574,1,22.080812
-0.291745,5,22.136568
-1.109727,6,22.186226
0.878549,10,22.269362
-0.955858,1,22.27432
-1.289218,2,22.293918
1.548995,14,22.327832
-0.851005,1,22.340901
-1.249361,2,22.362406
-2.116934,4,22.392576
-0.43336,9,22.403331
-0.553726,3,22.441038
-0.899289,1,22.453536
-1.843431,2,22.469646
-0.951716,1,22.473265
-0.285929,2,22.486508
0.213137,7,22.49645
0.598406,11,22.539233
-0.354365,3,22.561038
-0.863431,1,22.571041
-0.853431,1,22.586118
0.528549,5,22.646637
0.113137,2,22.654241
-1.389218,2,22.671334
0.458356,3,22.675503
-1.757725,4,22.712136
-0.261076,2,22.72293
1.129188,8,22.829684
-1.292649,2,22.868616
-0.627157,4,22.93379
-0.921716,1,22.941164
-0.846863,1,22.958019
-1.758579,2,22.983241
-3.390934,4,23.000056
1.830488,8,23.056323
-0.861716,1,23.07908
0.224853,2,23.10347
0.690782,2,23.147511
0.269706,2,23.176353
0.034142,3,23.180484
-1.818579,3,23.19178
1.879828,11,23.251064
-0.99865,3,23.291518
-0.877574,1,23.30747
-0.913431,1,23.315631
-2.661148,4,23.328529
0.213137,2,23.349778
-0.866863,5,23.357989
-0.218873,8,23.430523
-2.882792,7,23.490661
-4.136224,6,23.51915
1.837351,5,23.580897
-3.581535,13,23.69686
-1.357645,2,23.701043
-1.269361,2,23.713798
3.987107,12,23.806848
-1.477502,2,23.819663
-1.203654,3,23.849496
-0.975858,1,23.852584
-0.352649,2,23.871081
-0.955858,1,23.875698
0.096569,2,23.885952
-0.899289,1,23.902672
-1.325929,2,23.909191
-0.345929,2,23.916232
-0.98672,2,23.959528
-0.835147,1,23.985608
-2.082304,6,24.084781
-0.333015,6,24.156847
-0.907574,1,24.168427
-1.789655,4,24.219185
-0.923431,2,24.224444
-2.734437,4,24.251188
-1.552864,3,24.271995
0.767128,7,24.34911
-0.871005,1,24.362935
0.028284,2,24.366311
-1.276081,2,24.392682
-2.289361,4,24.399074
2.414214,1,24.401105
-0.911716,1,24.408604
-0.961716,1,24.411939
-0.855147,2,24.422165
-1.325929,2,24.428098
-4.461097,9,24.482842
-0.931716,1,24.492823
-0.883431,1,24.504472
-1.68529,3,24.51699
-1.119512,7,24.555473
0.227128,5,24.601822
-1.02997,21,24.697692
-0.851005,6,24.706489
-0.937574,1,24.711661
3.490782,4,24.717045
4.799626,15,24.751114
-0.927574,1,24.760837
-2.261076,2,24.785024
-1.164508,2,24.820287
1.454802,9,24.963582
-0.42402,4,25.016418
1.461981,9,25.071268
-1.274437,8,25.135129
-1.766863,2,25.178516
1.913057,10,25.275464
-0.955858,1,25.280073
-2.693574,4,25.288535
-3.288154,7,25.306768
-1.366741,5,25.36869
-0.923431,1,25.373853
2.048772,8,25.423036
-1.329361,2,25.429242
-3.819798,8,25.463207
-0.891716,1,25.481002
-0.879289,1,25.496233
0.100345,8,25.549811
-0.913431,1,25.572495
3.250265,9,25.630002
-0.272649,2,25.668678
-1.196224,2,25.693079
2.975492,7,25.719095
-1.172792,2,25.743854
-1.855147,2,25.753588
-0.565786,2,25.756728
2.973057,6,25.828271
9.544377,19,26.007189
-0.901716,1,26.033391
-0.919289,1,26.052039
-1.115219,8,26.089196
-1.871716,2,26.103301
-0.644437,4,26.147805
-0.857574,1,26.172805
-0.931716,1,26.183331
-1.726863,2,26.214341
-2.121076,2,26.242778
-0.325929,2,26.253282
-0.897574,1,26.26831
0.357279,5,26.297116
-1.181076,2,26.323079
-2.309361,2,26.32958
-0.534437,3,26.367745
-0.821716,3,26.379108
-0.875147,1,26.393974
-0.21537,4,26.419487
1.078284,3,26.426518
-2.486152,4,26.47445
-0.851716,3,26.484713
-1.846863,2,26.497566
-0.917574,1,26.503539
-0.853431,1,26.519249
-0.867574,1,26.535617
0.527351,2,26.547963
-0.489218,2,26.558945
-1.187086,5,26.585069
-0.078608,7,26.660493
-0.679584,7,26.694082
-0.380934,2,26.729569
-0.921716,1,26.744537
-3.353797,10,26.847475
-0.269361,2,26.861116
-0.266791,3,26.894415
-0.873431,1,26.911081
-4.250854,23,27.036608
-0.907574,1,27.045617
-2.520437,5,27.062377
1.282986,4,27.099669
-0.869289,1,27.114548
-2.784437,5,27.13122
0.692203,2,27.153761
1.178478,12,27.221319
-1.394365,3,27.23505
-0.935858,1,27.245404
-1.427502,5,27.257103
-4.347006,10,27.290211
-1.242944,2,27.319452
-0.804437,3,27.332798
1.491026,11,27.444907
-0.99,1,27.448391
-1.696842,22,27.670487
-0.975858,1,27.678936
-0.98,1,27.686096
2.742183,8,27.813062
2.588133,6,27.871629
-0.832721,1,27.893782
0.58664,6,27.906704
0.04804,11,28.04078
-0.985858,1,28.043479
-0.965858,1,28.047452
-0.909289,1,28.066197
-1.300934,2,28.09845
0.50799,4,28.150986
-0.853431,1,28.165808
3.257321,17,28.230831
-0.931716,1,28.237394
-0.95,1,28.244488
-0.100366,11,28.26219
1.998944,14,28.40917
1.837696,15,28.480486
-0.853431,1,28.496973
-0.951716,1,28.504326
-0.616863,3,28.532071
-2.172792,2,28.557903
0.20799,4,28.57646
0.116569,2,28.585422
-0.889289,1,28.602329
-0.99,1,28.604235
-0.913431,1,28.61355
-0.975858,1,28.616888
-0.805959,5,28.679639
-0.869289,1,28.690962
-0.867574,1,28.704931
-0.521594,3,28.746534
-0.412864,3,28.775049
-0.352649,2,28.799899
-0.889289,1,28.81109
-2.597817,5,28.867815
-1.097086,3,28.903077
-0.957574,1,28.906022
0.233137,2,28.933456
-3.597006,4,28.942143
0.469411,3,28.978733
-0.885858,1,28.987878
-0.955858,1,28.99746
-2.543015,5,29.042298
-0.849289,1,29.054444
-1.690294,2,29.079521
-2.137645,2,29.106459
-0.861716,1,29.120446
2.414214,1,29.122459
-0.73267,4,29.172138
-1.855147,2,29.183449
2.96598,8,29.280878
0.307279,4,29.31323
0.013209,5,29.350073
-2.351859,21,29.483278
-2.083675,17,29.542662
-6.638549,16,29.659936
-0.919289,1,29.672434
-0.525786,2,29.677917
-0.680955,5,29.732398
-0.889289,1,29.742157
-1.009512,15,29.778171
-1.758579,2,29.803853
-0.889289,1,29.814009
0.300488,7,29.86238
1.019634,6,29.893616
-1.786863,2,29.921042
-2.127939,2,29.940921
-1.25537,10,29.956747
-1.061076,3,29.977064
-0.975858,1,29.979316
-0.440934,2,29.995788
-1.839289,3,30.009682
0.713209,3,30.0317
1.774407,9,30.106028
-2.647006,6,30.113178
-3.879798,9,30.130924
-0.883431,1,30.144238
-0.055665,4,30.19601
-1.525786,2,30.200258
-2.207645,5,30.207774
-2.054508,4,30.231668
-0.917574,1,30.244045
2.414214,1,30.247091
-1.271249,12,30.333005
-0.957939,6,30.381848
-1.372649,6,30.39167
-0.473877,5,30.440837
-0.334365,3,30.45932
-0.400934,2,30.47682
-0.965858,1,30.480855
-0.951716,1,30.48444
-4.027157,8,30.563242
-1.296081,2,30.587355
-1.222944,3,30.614884
-1.535786,3,30.619891
-0.142082,3,30.644724
-0.955858,1,30.648599
-2.817574,4,30.656991
-2.136224,2,30.679236
-0.875147,1,30.690588
-2.983503,3,30.722989
-0.256081,2,30.750677
-4.231787,4,30.760494
-0.826863,1,30.776691
-0.907574,1,30.78922
-0.921716,1,30.800264
0.048284,2,30.804478
-0.751005,3,30.827905
-0.356081,2,30.852775
-2.289016,6,30.88432
-3.999655,6,30.915382
-0.951716,1,30.919624
-3.716863,4,30.938799
-1.677868,4,30.957587
-0.907574,1,30.965672
-3.54201,10,30.997219
1.458356,3,31.001178
0.229138,6,31.040395
0.701493,4,31.072092
-0.855147,1,31.084251
-1.293503,7,31.089704
2.054142,4,31.093791
-1.156224,2,31.116399
1.569066,3,31.131586
-0.474588,12,31.172835
2.880193,18,31.312218
-0.897574,1,31.325348
-0.911716,1,31.331581
-0.921716,1,31.336042
-0.875147,1,31.346242
-0.911716,1,31.35267
-3.645656,4,31.399384
-0.917574,1,31.410373
-0.907574,1,31.421686
-0.909289,1,31.432602
2.953137,26,31.637382
-0.056934,6,31.672323
-0.985858,1,31.674819
-0.687716,3,31.684176
0.196569,5,31.700469
-2.176934,3,31.724039
-1.723431,2,31.745811
-2.333503,3,31.750448
-0.365929,2,31.754337
2.94463,6,31.784465
-0.449218,2,31.796879
-0.927574,1,31.802563
-2.271939,4,31.823917
-0.889289,1,31.835225
-0.877574,1,31.845044
3.563848,8,31.88029
-4.065219,5,31.899099
