#{"t_start": 1784343020.691273, "env_id": "None"}
r,l,t
-2.771686,18,513.321445
-3.729087,4,513.54811
-1.92532,13,514.298184
0.122275,3,514.520662
-0.901716,1,514.529644
-0.985858,1,514.625141
1.499706,9,515.16162
-1.653949,9,515.864839
1.739626,5,516.206773
2.065706,6,516.690856
2.682893,10,517.495894
-0.907574,1,517.633014
-1.726863,2,517.798605
-0.889289,1,517.818769
1.001564,5,518.146638
1.413848,6,518.568368
-2.209361,2,518.670771
-0.935858,1,518.687255
-2.378507,3,518.920426
-0.926518,3,519.116278
0.242132,6,519.435475
-0.224508,2,519.585653
-0.866863,1,519.710555
-0.865147,1,519.733716
-0.262304,7,520.242933
0.549563,5,520.484736
3.146203,10,521.087674
-0.307502,4,521.32837
6.273675,20,522.721802
-0.63537,8,523.278
2.140904,5,523.723945
-2.068011,8,524.275847
-0.883431,1,524.292525
-0.947574,1,524.417367
0.106051,6,524.790457
0.585269,7,525.198407
3.014142,2,525.330206
-0.885147,3,525.621916
1.158528,7,525.99013
-2.127939,2,526.104202
4.920854,5,526.420942
6.557107,25,527.961089
1.132426,6,528.326575
-0.861005,1,528.433001
-2.470294,6,528.874108
-0.925858,1,528.882885
-0.835147,2,528.982447
-0.345929,2,529.084821
-0.10066,9,529.765962
-0.277645,2,529.844377
0.79463,4,530.061759
-0.412649,2,530.166916
-0.947574,1,530.175556
0.478478,11,530.950579
-0.871716,1,530.967971
3.488356,6,531.301276
-0.891716,1,531.425196
2.414214,1,531.429962
2.443848,8,531.949898
-1.279512,2,532.087282
-0.893431,1,532.24227
-0.210223,12,532.924378
-0.492304,4,533.198065
-1.517502,2,533.303987
-2.281076,2,533.430173
0.579066,2,533.538597
-0.961716,1,533.546474
-0.861005,1,533.66843
-0.971716,1,533.674446
-0.768579,4,533.933697
3.94926,10,534.660882
-0.753431,3,534.926588
-1.673726,2,535.084031
-0.187797,6,535.461328
-0.933431,1,535.472752
-0.744802,5,535.857194
-0.951716,1,535.867474
1.487279,7,536.376792
-1.473158,6,536.739007
-1.843431,2,536.867275
2.883553,10,537.527461
-2.550589,3,537.669183
-0.268011,4,537.946511
1.193991,5,538.276747
-0.957574,1,538.281265
-0.897574,1,538.430544
3.661981,8,538.988313
-0.852721,1,539.006103
1.241056,9,539.599849
1.454558,7,539.947625
1.932763,7,540.486345
8.639626,9,541.034143
-2.299361,3,541.248094
-0.006375,8,541.756532
-0.426791,6,542.051214
0.104193,5,542.300651
-3.437666,5,542.758986
-0.811005,4,543.072137
-0.859289,1,543.103207
-1.19865,3,543.313789
0.603919,2,543.468886
1.00333,5,543.731666
-0.347532,13,544.537834
-0.866863,1,544.560696
-0.836863,1,544.705634
-0.846863,1,544.734384
0.54733,7,545.364996
8.367607,14,546.284675
1.691493,5,546.503801
2.139634,14,547.311746
-1.330223,5,547.675657
-1.497157,4,547.937135
-0.264365,2,548.124223
-0.799289,4,548.36973
5.052843,11,549.173595
-2.571299,3,549.495273
0.63799,6,549.988694
3.582843,8,550.560187
0.838772,6,551.045951
4.675828,22,552.362238
1.144487,7,552.770277
-0.891005,1,552.922007
2.0,1,552.926614
-0.867574,1,553.073151
-0.673431,3,553.241702
0.300559,9,553.802345
-0.751817,5,554.144785
-0.921716,1,554.279973
-0.21537,12,555.000992
-3.340732,3,555.138148
-0.905219,12,555.795066
-0.893431,1,555.890766
1.910193,8,556.361939
-0.867574,1,556.391407
-0.947574,1,556.519987
-1.570437,3,556.662984
-1.276934,4,556.895049
0.817767,3,557.179849
-0.730294,3,557.353544
3.496833,10,557.869194
-1.249361,2,558.016797
2.897838,10,558.760178
-1.551299,3,559.044545
-2.221076,2,559.143291
-0.740294,3,559.294847
-0.901716,1,559.423487
-0.879289,1,559.437786
-0.517502,2,559.540001
-0.975858,1,559.68695
0.520681,16,560.786299
1.438944,18,561.842453
-0.003898,10,562.496732
-0.867574,1,562.524181
-1.748579,3,562.757365
0.571493,4,562.976189
-0.891716,1,562.99332
-1.238507,4,563.246542
-0.839289,1,563.373853
-1.372649,3,563.520109
-1.558162,4,563.765075
0.462498,2,563.892477
-1.574437,3,564.151741
-0.88402,11,564.798859
-2.03865,3,565.036422
2.559066,6,565.38991
2.414214,1,565.39303
2.267128,15,566.327377
-0.861005,1,566.361989
-0.935858,1,566.50879
-2.33402,7,566.845074
1.082426,3,567.081497
-1.373726,7,567.470408
-0.943431,1,567.581618
-0.436791,3,567.693254
-0.757574,4,567.961819
-0.891716,1,568.075082
-0.377309,10,568.683486
-0.947574,1,568.691188
-3.05865,5,569.096468
-0.97,1,569.103237
-2.166224,4,569.361095
0.575563,13,570.202165
-0.497502,2,570.325042
-0.525786,2,570.413729
2.014142,2,570.507874
5.326043,10,571.221841
-1.269361,2,571.370115
-0.249512,4,571.627547
-3.538873,11,572.208391
-0.292649,2,572.414084
3.919138,5,572.751304
3.024142,3,572.853111
-2.019807,4,573.193968
0.742914,5,573.533231
-0.927574,1,573.540569
-1.187452,8,574.085986
4.331076,48,577.272475
-0.517502,2,577.358208
1.176497,13,578.441096
-2.172792,2,578.611851
-1.357645,2,578.769675
-0.800294,1,578.796682
-0.478579,9,579.363386
1.048284,3,579.530638
-1.196741,6,579.935226
1.265908,6,580.330142
-0.791005,3,580.550578
-2.351787,3,580.672832
-0.919289,1,580.762992
-0.279512,2,580.918705
-1.460934,2,581.043336
-0.945858,1,581.055823
-0.951716,1,581.170911
2.445269,5,581.509767
-0.567675,7,582.071172
-0.764437,3,582.212981
-0.772721,4,582.501137
-2.348305,3,582.780218
-0.851005,3,582.892827
0.21799,3,583.139044
-0.965858,1,583.144458
-0.881716,1,583.27702
-0.109361,3,583.444144
4.324234,23,584.836277
0.605635,3,584.976499
-0.913431,1,585.133815
6.999138,7,585.468825
-0.869289,1,585.586171
-0.945858,1,585.59706
-0.923431,1,585.715792
3.288335,10,586.393812
2.382132,6,586.786523
4.319949,9,587.480448
-0.931716,1,587.634999
-0.933431,1,587.641366
-0.921716,1,587.765687
-2.793797,4,588.007041
-2.317645,2,588.117402
2.442986,5,588.450205
-0.615593,3,588.731174
0.649777,4,589.029355
0.692203,2,589.195568
-2.92389,5,589.511203
0.42262,12,590.321694
-0.951716,1,590.435548
-0.921716,1,590.447378
-0.931716,1,590.539452
0.696346,3,590.66014
-0.921716,1,590.779568
0.761493,7,591.154553
-0.059807,3,591.462948
0.574924,4,591.739092
-0.903431,1,591.768017
3.862569,3,592.049651
-0.907574,1,592.075532
0.417696,3,592.450251
1.815341,3,592.690891
-0.901716,1,592.869878
-0.941716,1,592.876548
1.112914,5,593.257855
-0.911716,1,593.277296
0.458356,4,593.544034
1.631493,4,593.800663
0.624924,4,594.054771
-0.951716,1,594.168776
-2.402376,8,594.671938
1.019268,13,595.553734
2.414214,1,595.637106
-0.923431,1,595.658764
0.30061,6,596.09704
-0.937574,1,596.212818
-0.965858,1,596.220715
-1.436447,8,596.738588
-1.069016,5,597.134065
0.828356,5,597.405578
1.061097,12,598.234704
-0.167086,4,598.478713
4.583209,8,598.96691
-0.885147,1,599.095691
-0.971716,1,599.100257
3.014142,2,599.197277
-0.711005,4,599.455667
2.67598,7,600.006787
-1.202153,5,600.292882
-0.638873,4,600.578639
-1.117035,6,600.955866
3.388377,16,602.040569
0.861198,7,602.548203
0.563209,6,602.884333
5.557077,14,603.813941
0.333339,4,604.059196
5.234701,15,604.902811
-0.965858,1,605.004979
-0.883431,1,605.027542
2.345971,8,605.495549
-2.127939,2,605.665062
-1.883087,5,606.027623
-0.875147,1,606.053157
0.083776,6,606.389724
0.138995,4,606.556793
-1.60201,5,606.926416
-0.935412,11,607.535691
3.395412,14,608.539768
4.031564,7,608.958612
-3.1586,13,609.708404
-1.783431,3,609.926171
2.108629,7,610.298408
-0.99,1,610.395166
1.987208,5,610.66364
-0.937574,1,610.785217
-0.869289,1,610.805818
-2.152792,2,610.956104
2.475563,5,611.37405
1.23328,6,611.756426
0.213137,2,611.893415
1.906762,7,612.309792
0.248995,7,612.769697
2.403524,13,613.59868
-2.96394,7,614.093365
3.588549,13,614.995492
-0.95,1,615.156183
-0.841005,1,615.185388
3.866711,3,615.454253
-1.181076,3,615.614551
-0.965858,1,615.735869
-0.853431,1,615.760829
-0.822721,1,615.949055
0.793209,4,616.256446
-1.113797,3,616.391531
-0.879289,1,616.594977
-1.859289,6,616.974087
0.458356,3,617.116324
-0.93,1,617.295502
-0.610244,9,617.947328
0.326102,10,618.654957
-0.961716,1,618.768968
-0.79394,5,619.1336
-0.869289,1,619.306078
-0.97,1,619.312368
-0.933431,1,619.440723
0.692203,2,619.615501
3.066346,14,620.488358
0.261421,2,620.607435
-2.141076,3,620.78677
2.258843,9,621.451744
-0.837086,8,622.015007
2.014335,7,622.435068
5.011371,21,623.941317
-0.94,1,623.952858
-0.847574,1,624.085782
-1.746863,2,624.212356
-1.141076,2,624.349352
-0.98,1,624.352912
0.581493,4,624.543571
1.671198,16,625.566088
-1.493158,3,625.827557
0.173137,2,625.954582
0.004996,3,626.103408
4.725534,12,626.866007
-0.801005,3,627.136703
1.382468,12,627.952064
1.779777,7,628.349187
-0.528579,8,628.837759
2.594264,10,629.575688
1.927422,3,629.80081
-1.62201,3,629.906404
-1.229361,2,630.036243
-1.630092,6,630.485647
1.485828,7,630.9661
1.066497,10,631.519126
-0.965858,1,631.521664
0.116569,2,631.653294
-4.812082,5,632.078056
0.703919,2,632.238931
5.085879,15,633.253502
1.351421,5,633.64872
1.057422,8,634.126461
0.371472,11,634.747887
0.78669,5,635.243735
-0.835147,5,635.488677
-0.901716,1,635.570631
-0.307797,2,635.707534
-0.889289,1,635.722794
0.679777,10,636.311252
1.606131,5,636.693882
-1.884802,6,637.058421
0.338995,3,637.219666
-0.600791,2,637.34923
-0.965858,1,637.450045
-0.897574,1,637.463698
-0.937574,1,637.567047
2.220904,23,638.808522
0.153137,2,638.934262
1.671817,16,640.149741
-0.390934,4,640.396913
-0.497502,2,640.541135
-0.923431,1,640.661253
0.831198,8,641.153126
-0.941716,1,641.165843
-1.157645,2,641.28895
-0.907574,1,641.417852
-0.955858,1,641.425916
-0.911716,1,641.548888
-0.006518,5,641.806595
-0.627006,6,642.144472
-0.923431,1,642.273379
-0.172792,2,642.415958
-0.885147,1,642.43919
-0.951716,1,642.606698
2.580315,13,643.430862
-0.472224,9,644.075034
-0.836863,1,644.101896
5.460265,11,644.859619
6.74862,13,645.592027
0.687351,2,645.705832
-1.465786,2,645.849132
3.500782,5,646.157817
-0.080517,6,646.470755
-0.375736,5,646.740366
-0.730294,2,646.897022
-0.941716,1,647.04715
-0.911716,1,647.062127
-2.568183,9,647.73979
2.143137,4,647.955108
1.454214,3,648.0548
-0.903431,1,648.172493
2.047422,3,648.304484
-2.134508,3,648.575372
-4.164731,7,648.999318
-0.975513,6,649.391699
-2.410732,4,649.683381
-0.430934,3,649.903827
-0.865147,1,649.926486
2.702203,6,650.291437
-0.941716,1,650.412688
-0.488579,12,651.127076
0.242426,4,651.404248
-0.293654,3,651.557445
0.076569,2,651.666116
-2.438011,3,651.888099
-0.90738,6,652.267785
-2.161076,2,652.40913
-0.117868,8,652.930937
-0.847574,1,652.948931
-0.873431,1,653.100077
-0.909289,1,653.111198
-0.897574,1,653.228415
-0.98,1,653.232009
-1.209361,2,653.373769
0.958772,4,653.675949
1.410051,8,654.156038
-0.859289,1,654.277972
-0.99,1,654.281981
7.588814,18,655.549474
3.014142,2,655.716948
0.434214,2,655.843291
0.176569,2,655.984202
3.577351,7,656.447109
4.045706,7,656.799144
2.147502,11,657.680344
-0.913431,1,657.693846
-0.62468,9,658.290877
-0.927574,1,658.302636
0.20939,21,659.611366
2.760833,13,660.518107
-0.848234,8,661.060488
5.389605,22,662.320225
-0.925858,1,662.42133
-1.893583,2,662.573962
0.605635,4,662.815353
-0.252599,4,663.101203
-0.891716,1,663.122871
-2.211076,3,663.386885
-0.943431,1,663.395146
-0.928944,3,663.67904
3.842569,2,663.803252
-1.197645,2,663.936622
-0.965858,1,663.943348
1.082426,3,664.180185
0.452843,4,664.474772
-0.842721,1,664.506115
-1.112792,2,664.649783
-0.814437,6,665.042812
-1.763482,10,665.708048
-0.913431,1,665.829936
-0.895147,1,665.857184
-1.649584,4,666.131129
1.792245,7,666.684166
0.482426,6,667.083745
0.896051,3,667.292726
-0.06532,6,667.717891
-1.132792,2,667.839818
-1.787523,7,668.513433
0.24799,4,668.794485
-0.695412,9,669.352082
-1.15402,6,669.782208
-1.181076,2,669.960948
-3.408671,10,670.788886
1.403848,5,671.168417
-0.877574,1,671.191128
0.544924,4,671.380629
-0.633726,4,671.626029
-1.816741,10,672.279274
1.197473,9,672.958152
-0.931716,4,673.214584
2.469899,9,673.798388
-0.865147,4,674.020097
-1.297645,2,674.16401
-0.866863,3,674.385245
-0.637868,6,674.714274
-1.545786,2,674.859831
-0.905147,1,674.892653
-0.537502,2,674.998887
2.414214,1,675.110552
0.184487,4,675.406274
0.764071,4,675.598329
1.151198,5,675.891028
-2.277014,8,676.476833
-2.967603,9,677.22081
-0.955858,1,677.229284
2.0,1,677.3527
-0.917574,1,677.362297
-3.957229,8,677.791077
-0.909289,1,677.949485
-0.967229,4,678.228956
1.47664,4,678.453348
0.153137,2,678.576844
1.857767,7,678.969476
-2.240021,8,679.470922
-2.067229,3,679.763112
-0.971716,1,679.767215
-0.548721,6,680.169735
-2.289361,2,680.294606
1.026346,8,680.950376
-0.453869,2,681.095248
-0.718579,3,681.416585
-2.285929,3,681.522019
-0.057431,4,681.798108
-1.818944,9,682.478914
-1.152792,2,682.635013
-0.846863,1,682.666628
-0.947574,1,682.819332
-2.09865,9,683.263022
2.40799,4,683.692228
-0.951716,1,683.86395
-0.832721,1,683.907671
0.188284,3,684.181626
-0.803107,10,685.034115
-0.412649,2,685.173004
-0.975858,1,685.178709
-1.176224,2,685.309516
-0.99,1,685.394081
-1.275219,4,685.620823
3.161766,13,686.447287
-0.855147,1,686.584432
-0.796863,3,686.746858
-0.378873,5,687.137415
0.79463,4,687.374086
-0.885147,1,687.389643
-0.897574,6,687.751275
-1.102031,4,688.000393
-0.304538,12,688.794505
-0.871005,1,688.92766
4.774924,6,689.386569
-0.822721,1,689.420395
-0.408507,3,689.681119
0.51664,8,690.120288
3.029331,9,690.672153
-0.862792,4,690.95699
-0.899289,3,691.188946
4.21328,13,691.899347
-0.921716,1,691.981096
-0.065685,18,693.141891
0.409563,2,693.319654
-0.951716,1,693.331425
3.814558,7,693.842881
0.664924,4,694.121366
4.157624,15,695.005437
-0.512864,3,695.279759
-0.879289,1,695.304141
-0.927574,1,695.409903
-0.873431,1,695.433286
-0.891716,1,695.563538
-1.862376,3,695.729803
-1.952031,5,696.186492
3.956539,17,697.258728
3.172986,7,697.729598
0.086417,6,698.079136
0.383137,4,698.301349
-1.821005,3,698.44907
2.064996,3,698.747092
2.024142,3,698.897586
-1.253503,3,699.100148
-1.551299,4,699.406055
-0.925097,12,700.226067
-1.86667,6,700.696529
2.0,1,700.701207
-0.899289,3,700.933711
10.482439,16,701.991831
-0.163503,4,702.25642
2.701636,5,702.548858
-1.967229,11,703.23679
-0.909289,1,703.248894
-2.365929,2,703.388401
2.654924,9,703.920936
-0.893431,1,703.938684
-0.99,1,704.036901
-0.003238,5,704.324822
-0.861716,1,704.463848
-2.804365,7,704.839801
-0.895858,1,704.988097
-0.99,1,704.99212
2.414214,1,705.114424
-2.342519,9,705.635323
-0.887574,1,705.766329
0.36799,4,706.002414
-0.865147,1,706.020995
-2.365929,2,706.101816
0.613402,5,706.565797
-0.234365,3,706.739267
-0.883431,1,706.864767
-0.181076,2,707.011079
-0.98,1,707.015501
5.000012,20,708.365089
0.273137,13,709.162671
2.649777,5,709.403111
-0.873431,1,709.544533
0.428852,4,709.810628
-0.883431,1,709.841781
-2.303015,5,710.223018
-0.795097,4,710.541105
2.34799,8,711.067527
0.104853,2,711.215002
0.987401,11,711.829318
2.228995,6,712.193935
-1.911716,2,712.32107
0.068284,2,712.45352
-0.73201,9,713.04172
0.411127,12,713.778417
-0.947574,1,713.789057
0.533848,7,714.196598
-0.750294,2,714.341543
-0.70201,2,714.488792
-0.951716,1,714.497517
-2.241076,2,714.668984
-0.927574,1,714.801058
-2.39201,4,715.102252
0.031056,4,715.329635
-2.229361,2,715.486645
-4.254113,6,715.94044
-0.361644,3,716.106575
-0.616152,5,716.438173
1.875341,3,716.6082
1.20463,7,717.121173
7.590631,11,717.696005
0.391127,2,717.866614
2.195563,4,718.101927
-0.965858,1,718.235358
2.94463,6,718.643184
-0.251939,4,718.917123
0.583919,2,719.031178
-0.623015,10,719.625981
2.930488,18,720.629734
-1.831716,2,720.749012
-0.688457,13,721.504738
0.185908,6,721.841315
-0.889289,1,721.967119
-0.947574,1,721.979343
2.95328,5,722.282106
-0.907574,1,722.307735
-1.309361,2,722.444055
0.74463,5,722.760291
-0.867574,1,722.791004
1.084142,5,723.121341
-1.257645,2,723.267031
-0.865147,6,723.592403
2.051127,8,724.083665
-0.873431,1,724.109345
0.322843,3,724.368232
-1.37336,3,724.529426
0.519066,2,724.681273
-1.708944,5,725.071016
-0.851005,1,725.103003
-0.836863,3,725.333673
-3.445442,12,726.037583
-2.052944,4,726.358459
4.424184,9,726.925327
-0.597157,6,727.289896
3.468204,5,727.631907
-0.871005,1,727.657218
-0.865147,1,727.765597
2.125492,5,728.060503
-0.587157,3,728.360115
-0.885147,1,728.379169
3.137128,4,728.6038
-0.822721,1,728.72912
-0.913431,1,728.740633
-0.941716,1,728.854354
0.386274,5,729.096215
3.501127,7,729.523782
5.925748,34,731.711228
0.114853,3,731.830823
0.91931,13,732.810402
2.414214,1,732.815754
-0.889289,1,732.962834
-1.68201,6,733.333343
-0.913431,1,733.341985
-2.241076,2,733.457478
-0.492304,10,734.15149
-0.835147,3,734.435262
2.482498,5,734.638003
0.734781,5,735.020805
-2.277645,2,735.139882
1.976884,13,735.878872
-0.879289,1,735.958701
-0.149361,3,736.137603
-3.338579,14,737.005063
-0.612872,5,737.403289
0.362426,4,737.65738
-0.173654,3,737.794192
1.615635,3,738.022327
-0.871005,1,738.043289
-0.326791,4,738.278636
-3.847372,9,738.897234
-2.261076,3,739.040174
-0.465786,2,739.176686
-1.297502,2,739.348445
1.676985,6,739.782051
1.434407,5,740.243719
3.785269,10,740.905775
-0.581665,8,741.417299
-0.761005,3,741.57304
-0.873431,1,741.704803
0.068284,2,741.827892
0.176569,2,741.974197
5.466051,9,742.551453
2.414214,1,742.656963
0.995492,5,742.945101
-1.36336,4,743.145101
-1.239016,15,744.049363
0.36333,8,744.521634
2.772203,5,744.779344
0.627351,2,744.928428
2.953553,12,745.700759
-0.877574,1,745.898803
-0.965858,1,745.904896
2.083259,9,746.869833
-1.761005,3,747.015848
-1.795147,2,747.184522
-0.877574,1,747.33233
1.356274,4,747.714767
-0.690294,3,747.873833
-0.563015,5,748.362788
-0.63529,3,748.490373
4.029848,5,748.859884
-2.388802,15,750.041631
-2.817229,5,750.522185
-0.216081,3,750.71692
1.161198,13,751.424335
0.950315,10,752.092321
1.178843,5,752.362102
1.638406,7,752.868991
-0.887574,1,752.891077
-1.337645,2,753.015301
-0.577716,4,753.283829
-0.907574,5,753.633087
0.607351,2,753.796802
0.203919,13,754.678978
-0.903431,1,754.804182
-0.841005,1,754.831459
-1.267797,5,755.190771
-2.341787,4,755.407309
-1.269361,2,755.519109
0.542498,2,755.6566
-0.873431,1,755.684713
-2.313503,3,755.863392
-1.082082,4,756.078531
-0.90066,3,756.291108
-1.372801,5,756.643469
-2.291076,3,756.744235
0.530782,2,756.865733
-2.625147,3,757.111027
0.041249,9,757.727964
1.778112,7,758.236139
1.838772,9,758.725852
-0.94,1,758.838595
-0.923431,1,758.863411
5.805576,12,759.800956
-0.497502,2,759.963445
-0.903431,1,760.091746
-0.965858,1,760.096467
-0.103654,3,760.324169
-0.853797,4,760.625471
0.487279,4,760.917542
3.316569,7,761.289919
-0.941716,1,761.384269
-0.425076,8,761.869191
-0.915147,1,761.882873
-0.751005,3,762.137164
-0.855147,2,762.234612
-1.955513,4,762.518596
-0.369218,2,762.642267
-0.885147,1,762.667454
2.271421,8,763.126244
-0.923431,1,763.251318
3.33132,9,763.796335
0.364487,7,764.378849
-0.921716,1,764.389569
-0.792721,3,764.657857
3.225757,9,765.220831
2.50664,6,765.546457
-0.293015,13,766.375342
-0.95,1,766.388176
-1.306081,3,766.653561
1.615635,3,766.798096
-0.873431,1,766.924695
10.913515,23,768.391932
7.339848,15,769.402015
-0.369218,3,769.542092
-0.841005,1,769.68942
1.82463,9,770.186897
-2.136224,2,770.33775
-1.252792,2,770.472597
1.206569,3,770.683677
-0.385929,2,770.811583
3.024142,3,770.933304
2.478549,6,771.399025
-1.204508,2,771.559241
1.094853,3,771.798346
0.389563,3,771.940601
-0.885858,1,772.067225
-1.816863,4,772.368194
2.750681,10,773.070794
2.26127,6,773.509814
-0.871005,1,773.525521
0.155908,5,773.936098
-0.917574,1,773.957349
1.620631,6,774.381193
-1.631228,7,774.91012
6.329554,24,776.29381
-2.62529,3,776.426723
-0.921716,1,776.542514
1.037208,5,776.796017
-0.045076,4,777.075189
-0.842721,1,777.201941
-0.901716,1,777.220559
-1.693726,2,777.41887
1.347279,3,777.705774
-0.935858,1,777.719604
-0.661005,3,778.010068
-0.932578,4,778.235076
0.129848,3,778.361597
-0.951716,1,778.452747
-0.955858,1,778.458776
-0.883431,1,778.564242
1.629777,5,778.83546
-1.372649,2,779.009869
0.942569,4,779.27721
-0.915858,1,779.392864
1.22061,6,779.826828
-0.237006,7,780.290417
-0.907574,1,780.405311
2.243848,4,780.685577
-3.480437,4,780.93183
1.239706,3,781.069902
-1.697229,9,781.694066
5.490975,21,782.797175
-1.132792,2,782.944667
4.378478,16,783.981103
-0.415442,5,784.307509
-3.576661,8,784.821416
-0.266081,3,784.963766
-0.931716,1,785.089126
-1.281076,2,785.230707
-0.899289,1,785.250134
0.193137,2,785.397991
0.724071,3,785.602545
-0.961716,1,785.606109
-0.195076,4,785.889485
-3.170366,9,786.478639
0.747401,9,786.965262
-0.861005,1,787.102625
-1.881005,4,787.320443
-0.921716,1,787.331892
-0.101371,4,787.550204
1.096569,6,787.881345
0.130711,4,788.142986
-0.937574,1,788.26771
3.872569,4,788.518094
-1.368162,5,788.741782
-0.927574,1,788.888597
1.279706,7,789.215632
0.562498,2,789.358052
0.861493,4,789.65527
-0.869289,1,789.75839
6.577392,21,791.401558
1.712325,24,792.97058
3.263137,7,793.467996
-1.127939,2,793.634155
3.695483,12,794.288291
4.811909,17,795.325967
-1.121076,2,795.45362
-0.927574,1,795.580117
-0.903431,1,795.597926
-0.345025,6,795.869649
2.773209,10,796.493063
0.273137,2,796.642083
-1.570244,10,797.265222
0.162426,5,797.580285
-0.893431,1,797.603591
2.604924,8,798.147329
-2.612864,3,798.449941
-0.925858,1,798.472636
5.768519,19,799.874003
-1.564802,6,800.29775
0.104853,2,800.413839
2.553209,4,800.653114
-0.893431,1,800.678056
0.861127,7,801.237549
-1.412864,4,801.526335
-2.172792,2,801.667002
2.0,1,801.671082
4.467767,8,802.234576
2.414214,1,802.340442
2.4886,7,802.688712
0.261421,3,802.973761
2.261047,11,803.622823
2.448356,3,803.833501
-0.845147,1,803.854966
-0.037086,4,804.123459
0.161421,2,804.252675
7.68196,35,806.503272
-0.269533,8,807.225259
1.120711,3,807.356138
-0.627006,2,807.502068
-0.879289,1,807.648856
-0.492153,3,807.827897
-0.365929,2,807.988599
-0.845147,1,808.155785
-0.961716,1,808.162311
-0.662233,15,809.084712
0.590782,2,809.217191
-2.757716,3,809.336652
0.276569,2,809.497301
-1.347797,2,809.682208
4.597056,23,811.179351
-0.822721,1,811.211095
-0.965858,1,811.285155
-0.664437,3,811.465904
-0.723574,2,811.570414
-0.863431,1,811.70086
2.815492,5,812.064526
0.169899,5,812.530595
0.635635,3,812.665515
1.025706,6,813.091038
-0.810294,2,813.263113
-0.92,3,813.52249
-0.846863,1,813.54362
-0.253654,4,813.81996
-1.032082,4,814.192399
-0.893431,3,814.472561
1.338133,6,814.99822
1.957422,3,815.120381
5.198204,10,815.802411
8.19669,16,816.909586
2.414214,1,817.047363
-2.252792,2,817.188874
0.519066,2,817.309109
-0.887574,1,817.321212
0.235563,5,817.699073
-0.941716,1,817.710846
11.732519,39,820.51639
0.675605,10,821.295387
-0.613015,3,821.485676
-1.106741,11,822.206921
4.495605,15,823.23882
-1.647868,4,823.46494
0.570782,2,823.577644
-0.903431,1,823.657855
-1.891716,2,823.775984
1.781198,3,823.944805
-1.387523,7,824.445407
-0.907574,1,824.465956
3.500782,7,824.913292
0.838772,5,825.194291
-2.077645,10,825.747624
-0.923431,1,825.871558
-0.907574,1,825.89124
3.119777,6,826.325313
-0.382649,10,826.9108
2.882498,6,827.306434
5.034996,10,827.899728
3.458356,4,828.110823
5.851127,10,828.722752
-0.961716,1,828.854348
-0.879289,3,828.991029
-0.720294,4,829.252821
-0.187809,8,829.823489
2.0,1,829.922934
-1.614731,4,830.24559
-0.887574,1,830.268398
1.745412,6,830.706066
0.386985,5,831.09897
4.902397,15,831.992373
-0.941716,1,832.083616
0.807056,8,832.540809
-0.951716,1,832.551912
-0.911716,1,832.705629
0.284853,2,832.850687
3.863768,10,833.558288
1.431127,9,834.018163
-0.792721,3,834.23016
5.900854,4,834.437331
-1.204874,5,834.75826
1.231421,3,835.047915
4.400092,22,836.400989
3.701299,28,838.194292
1.947615,7,838.6909
-3.642864,3,838.952686
-0.891716,1,838.975506
-0.921716,1,839.089111
-0.338507,3,839.266289
0.641493,4,839.528387
1.260416,3,839.761978
2.120113,13,840.641189
-0.867574,1,840.774066
-0.794437,3,840.916891
14.309058,42,843.900054
1.169848,3,844.106206
1.177767,11,844.787481
-1.332649,2,844.960304
3.934062,7,845.407217
2.21262,10,846.064521
-0.858579,3,846.188395
2.221198,7,846.738533
5.695727,9,847.394013
0.174853,4,847.61409
-1.726863,2,847.790673
-0.889289,1,847.914071
0.900021,21,849.296114
-0.851716,1,849.402422
0.675635,2,849.563786
-0.955858,1,849.57093
-1.372649,2,849.768082
0.241076,15,851.031827
0.141421,2,851.174683
-0.68201,5,851.392264
-4.58132,11,852.290967
-0.327797,2,852.43521
-0.889289,3,852.58608
-0.081745,11,853.472991
-0.036934,3,853.616367
-0.881716,1,853.759007
-1.918162,11,854.486266
0.45598,5,854.868418
0.249706,2,855.024618
-2.885219,7,855.484392
-0.450934,3,855.726112
1.876274,7,856.363536
-0.885147,1,856.527934
-0.201939,4,856.873438
-2.46402,6,857.282279
-2.096224,2,857.479774
1.169331,7,858.016817
-0.032578,3,858.245666
3.293696,6,858.657923
-4.051219,8,859.02138
-0.776152,3,859.143341
-1.593726,6,859.476434
7.780458,19,860.744115
0.639066,2,860.908352
0.567351,2,861.032519
-0.895858,1,861.047401
0.724407,12,861.801003
0.007624,8,862.451783
-0.909289,1,862.592037
-0.450934,3,862.733387
-1.289361,2,862.873349
1.585269,7,863.473299
0.655635,7,863.799579
-0.955858,1,863.944561
-1.806274,10,864.684615
-0.951716,1,864.69087
-0.923431,1,864.817139
5.602498,7,865.144737
2.0,1,865.245178
-1.235076,7,865.6206
-0.838579,1,865.747554
-0.877574,1,865.766764
0.163137,3,866.008521
-1.730294,5,866.211865
-1.554437,4,866.442038
-0.935858,1,866.575517
5.381677,8,867.177728
-1.365929,2,867.303448
0.164853,2,867.45137
-2.817574,3,867.589943
-0.887574,1,867.712193
-0.277645,2,867.819858
-2.27336,7,868.136632
4.890854,4,868.355688
-1.102082,3,868.647011
3.779777,6,869.023378
-1.152792,2,869.17725
0.303768,8,869.835563
-0.838579,1,869.871068
4.978772,8,870.408094
-0.927574,1,870.550609
-0.883431,1,870.579014
