---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
  63 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  64 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  65 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  66 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  67 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  68 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  69 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  70 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  71 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  72 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  73 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  74 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  75 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  76 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  77 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  78 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  79 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  80 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  81 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  82 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  83 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  84 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  85 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  86 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  87 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  88 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  89 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  90 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  91 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  92 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  93 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  94 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  95 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  96 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  97 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  98 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  99 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 100 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 101 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 102 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 103 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 104 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 105 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 106 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 107 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 108 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 109 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 110 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 111 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 112 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 113 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 114 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 115 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 116 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 117 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 118 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 119 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 120 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 121 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 122 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 123 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 124 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 125 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 126 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 127 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 128 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 129 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 130 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 131 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 132 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 133 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 134 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 135 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 136 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 137 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 138 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 139 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 140 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 141 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 142 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 143 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 144 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 145 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 146 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 147 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 148 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 149 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 150 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 151 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 152 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 153 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 154 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 155 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 156 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 157 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 158 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 159 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 160 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 161 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 162 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 163 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
