---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
  62 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  63 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  64 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  65 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  66 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  67 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  68 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  69 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  70 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  71 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  72 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  73 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  74 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  75 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  76 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  77 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  78 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  79 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  80 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  81 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  82 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  83 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  84 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  85 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  86 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  87 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  88 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  89 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  90 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  91 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  92 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  93 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  94 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  95 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  96 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  97 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  98 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  99 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 100 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 101 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 102 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 103 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 104 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 105 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 106 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 107 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 108 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 109 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 110 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 111 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 112 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 113 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 114 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 115 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 116 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 117 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 118 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 119 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 120 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 121 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 122 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 123 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 124 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 125 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 126 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 127 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 128 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 129 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 130 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 131 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 132 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 133 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 134 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
