---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
  63 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  64 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  65 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  66 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  67 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  68 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  69 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  70 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  71 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  72 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  73 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  74 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  75 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  76 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  77 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  78 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  79 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  80 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  81 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  82 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  83 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  84 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  85 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  86 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  87 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  88 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  89 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  90 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
