method,split,policy_seed,scenarios,repetitions_per_scenario,route_measurements,route_mean_ms,route_median_ms,route_sample_std_ms,route_min_ms,route_max_ms,decision_measurements,decision_mean_ms,decision_median_ms,decision_sample_std_ms,decision_min_ms,decision_max_ms
dijkstra,obstacle_density_40,classical,10,10,100,0.64920351002,0.681798,0.13344694182749603,0.301567,0.80504,100,0.64920351002,0.681798,0.13344694182749603,0.301567,0.80504
dijkstra,scale_100,classical,10,10,100,44.54314314998,41.681107999999995,17.575352105301548,12.165028999,79.597123,100,44.54314314998,41.681107999999995,17.575352105301548,12.165028999,79.597123
dijkstra,scale_15,classical,10,10,100,1.46119212998,1.4866570000000001,0.5163641075465915,0.715802,2.862415,100,1.46119212998,1.4866570000000001,0.5163641075465915,0.715802,2.862415
dijkstra,scale_30,classical,10,10,100,3.36594339999,3.6430974999999997,1.7891743805588933,1.059704,8.215726,100,3.36594339999,3.6430974999999997,1.7891743805588933,1.059704,8.215726
dijkstra,scale_50,classical,10,10,100,8.29721382998,5.876115499999999,6.025950014036449,1.879615,33.905195,100,8.29721382998,5.876115499999999,6.025950014036449,1.879615,33.905195
dijkstra,seen_layout_unseen_pairs,classical,30,10,300,0.6456180500233333,0.6182905000000001,0.2187190468383878,0.318151,1.221659,300,0.6456180500233333,0.6182905000000001,0.2187190468383878,0.318151,1.221659
dijkstra,sensor_noise_p05,classical,10,10,100,2.17865282001,2.336593,0.5062419634068219,0.955869,3.090773001,100,2.17865282001,2.336593,0.5062419634068219,0.955869,3.090773001
dijkstra,sensor_noise_p10,classical,10,10,100,1.73759561005,1.3954744995000001,0.7806089796478424,0.373323001,3.835651,100,1.73759561005,1.3954744995000001,0.7806089796478424,0.373323001,3.835651
dijkstra,stochastic_obstacles_p05,classical,10,10,100,1.26617635995,1.247747,0.6246142518375905,0.434904,2.699597999,100,0.65875530666,0.66038675,0.31461257619865607,0.175394667,1.362950999
dijkstra,stochastic_obstacles_p20,classical,10,10,100,3.14920510984,2.0065969995,2.4676444133672972,0.813372999,8.439190999,100,0.58376061325,0.4508595,0.3457103122432562,0.22709375,1.22671
dijkstra,unseen_layout_same_density,classical,30,10,300,0.7035369399966667,0.6902315,0.3184618146109662,0.21893,1.81372,300,0.7035369399966667,0.6902315,0.3184618146109662,0.21893,1.81372
dijkstra,wind_energy_penalty_0_25,classical,10,10,100,1.10188915999,1.1994505,0.3475993182729479,0.322485,1.713454,100,1.10188915999,1.1994505,0.3475993182729479,0.322485,1.713454
dijkstra,wind_energy_penalty_1_0,classical,10,10,100,0.82283445003,0.9067764995,0.23901895895577271,0.440396,1.157597,100,0.82283445003,0.9067764995,0.23901895895577271,0.440396,1.157597
dstar_lite,changed_toggle_periods,classical,30,10,300,4.163260973373333,3.14851,2.8009674644879583,0.717647,12.735619,300,1.51443214834,1.4013959585,0.7940846086469603,0.347589,4.279646
dstar_lite,denser_unseen_layout,classical,30,10,300,2.0410591199966666,1.5026739999999998,1.1672847545899958,0.514545,6.680782,300,2.0410591199966666,1.5026739999999998,1.1672847545899958,0.514545,6.680782
dstar_lite,moving_obstacles_period_2,classical,10,10,100,3.94462690987,4.1235740005,1.733339219979907,0.867762999,7.127050999,100,0.73754466094,0.8214562,0.23184932742041592,0.383493333,1.376499
dstar_lite,moving_obstacles_period_4,classical,10,10,100,2.64569827997,2.6678715005,1.2360102666651414,0.943637001,6.012616,100,1.07343383497,0.9664170000000001,0.3727847819747336,0.471818501,2.004205333
dstar_lite,new_dynamic_obstacle_locations,classical,30,10,300,1.9158391366933334,1.7751170004999999,1.0987837050260183,0.408834,5.977911002,300,1.0317861800166666,0.984289,0.40708178889131885,0.408834,2.500194
dstar_lite,no_fly_hard,classical,10,10,100,2.59652647997,2.285199,2.1719412229806467,0.647504,14.111753,100,2.59652647997,2.285199,2.1719412229806467,0.647504,14.111753
dstar_lite,no_fly_penalty,classical,10,10,100,3.94685383001,3.1715265,1.9055719576347323,1.909717,7.985496,100,3.94685383001,3.1715265,1.9055719576347323,1.909717,7.985496
dstar_lite,obstacle_density_10,classical,10,10,100,2.28153167998,1.974577,1.1755955358505334,1.150902999,5.556333,100,2.28153167998,1.974577,1.1755955358505334,1.150902999,5.556333
dstar_lite,obstacle_density_40,classical,10,10,100,2.76631478999,2.8885345,1.0894718669190837,0.782077001,5.344918,100,2.76631478999,2.8885345,1.0894718669190837,0.782077001,5.344918
dstar_lite,scale_100,classical,10,10,100,38.47818794004,31.326542500000002,23.621606274092894,13.689922001,153.766114,100,38.47818794004,31.326542500000002,23.621606274092894,13.689922001,153.766114
dstar_lite,scale_15,classical,10,10,100,4.50026275001,4.5470585005,2.104857319286789,1.508548,10.434406,100,4.50026275001,4.5470585005,2.104857319286789,1.508548,10.434406
dstar_lite,scale_30,classical,10,10,100,5.86400078995,5.5466179995000005,3.8506070912491266,1.149337,13.841033,100,5.86400078995,5.5466179995000005,3.8506070912491266,1.149337,13.841033
dstar_lite,scale_50,classical,10,10,100,12.14874513996,11.8656025005,8.965788880656891,2.812553,37.753339,100,12.14874513996,11.8656025005,8.965788880656891,2.812553,37.753339
dstar_lite,seen_layout_unseen_pairs,classical,30,10,300,1.8755382466766666,1.5575044999999998,1.0415312529956573,0.629092,9.021497,300,1.8755382466766666,1.5575044999999998,1.0415312529956573,0.629092,9.021497
dstar_lite,sensor_noise_p05,classical,10,10,100,5.99622410002,5.930008000000001,3.168405940105023,0.939898,12.636066,100,5.99622410002,5.930008000000001,3.168405940105023,0.939898,12.636066
dstar_lite,sensor_noise_p10,classical,10,10,100,3.76428232994,3.579466,1.6871159818573132,1.350991,6.994552,100,3.76428232994,3.579466,1.6871159818573132,1.350991,6.994552
dstar_lite,stochastic_obstacles_p05,classical,10,10,100,1.75873665004,1.4547235005,0.8625470096857185,1.016962,4.091444,100,1.12724862914,0.648325,1.1063395012467998,0.406844667,4.091444
dstar_lite,stochastic_obstacles_p20,classical,10,10,100,1.99699015997,1.7512530000000002,1.049044376593854,0.716622,5.672060001,100,0.40563943686,0.329767405,0.17543770598244576,0.267135,1.134412
dstar_lite,unseen_layout_same_density,classical,30,10,300,2.10238428671,1.7806425,1.2347970733394982,0.638155,8.083661,300,2.10238428671,1.7806425,1.2347970733394982,0.638155,8.083661
dstar_lite,wind_energy_penalty_0_25,classical,10,10,100,2.35428639995,1.5691305,1.4768230698867377,0.554021,6.343544,100,2.35428639995,1.5691305,1.4768230698867377,0.554021,6.343544
dstar_lite,wind_energy_penalty_1_0,classical,10,10,100,1.97673087999,1.7009294995,0.6161818818780891,1.084666999,3.175992,100,1.97673087999,1.7009294995,0.6161818818780891,1.084666999,3.175992
rl_dqn,changed_toggle_periods,11,30,10,300,118.80346068028909,115.2938935038037,21.567799532450906,77.08463900235074,169.59602100178017,300,0.5280153808012849,0.5124173044613498,0.09585688681089291,0.3425983955660033,0.7537600933412452
rl_dqn,changed_toggle_periods,22,30,10,300,3.6141914967932585,3.3069635001083952,1.8963037079184328,1.4280380000855075,14.474523000899353,300,0.42542308784457705,0.3903614997398108,0.10374472903229258,0.33978728554627324,1.0104613332562924
rl_dqn,changed_toggle_periods,33,30,10,300,103.00578603966035,100.94593800022267,22.15839359546035,75.6677580102405,162.57857001437515,300,0.4578034935096016,0.44864861333432293,0.0984817493131571,0.33630114671218003,0.7225714222861117
rl_dqn,changed_toggle_periods,44,30,10,300,119.97560866771892,115.2006039983462,24.564594810824172,76.98428498952126,312.77723802304536,300,0.533224927412084,0.5120026844370942,0.10917597693699632,0.3421523777312056,1.3901210578802017
rl_dqn,changed_toggle_periods,55,30,10,300,3.570824453193685,3.5703185021702666,1.4369569772301831,1.3638449981954182,8.460210998237017,300,0.43284184383918,0.40689715892354306,0.07825502004121544,0.33624300054465756,0.9394416667621246
rl_dqn,changed_toggle_periods,all_seeds,30,10,1500,69.79397426753106,84.54922999226255,57.20026768826284,1.3638449981954182,312.77723802304536,1500,0.4754617466813455,0.46486693776791477,0.10798509781633521,0.33624300054465756,1.3901210578802017
rl_dqn,denser_unseen_layout,11,30,10,300,81.27930262349157,76.83006798924907,26.871463051808302,0.5513670002983417,136.81119300963474,300,0.39563402789531715,0.34533422887357623,0.09125480323041457,0.3232858844017351,0.8169970005837968
rl_dqn,denser_unseen_layout,22,30,10,300,25.67070318666083,4.037128996969841,37.96298313975065,1.3528719991882099,127.99671500215482,300,0.39070590433654595,0.35289716049899456,0.0837434093282077,0.3307769955588608,1.1129219998441509
rl_dqn,denser_unseen_layout,33,30,10,300,86.44407926338317,77.4004349959796,16.076675524091787,73.0759729995043,139.40981599989755,300,0.38419590783725854,0.34400193331546486,0.07145189121818572,0.32478210222001913,0.6195991822217669
rl_dqn,denser_unseen_layout,44,30,10,300,84.05343489911805,77.12134450230224,22.47543924263782,5.030735997934244,183.10487600319902,300,0.39243748132726913,0.34370021116855143,0.08429119293712117,0.3265247244255281,0.8137994489031067
rl_dqn,denser_unseen_layout,55,30,10,300,30.75282549383701,4.537170999356022,39.47177196829655,1.4044099989405368,138.76789798086975,300,0.42614406243619,0.3593388748868165,0.14065257759121913,0.325600386786391,1.6077015002338158
rl_dqn,denser_unseen_layout,all_seeds,30,10,1500,61.64006909329813,75.7576260029964,40.56239261362141,0.5513670002983417,183.10487600319902,1500,0.39782347676651614,0.3489514817179692,0.09826551708549452,0.3232858844017351,1.6077015002338158
rl_dqn,moving_obstacles_period_2,11,10,10,100,126.56062726951859,118.08047049999004,21.28540009230443,94.63300798961427,176.32583900740428,100,0.5624916767534159,0.5248020911110669,0.0946017781880197,0.4205911466205079,0.7836703955884635
rl_dqn,moving_obstacles_period_2,22,10,10,100,5.927531590259605,5.590835000475636,2.2538777215443333,2.086643000438926,11.80741499956639,100,0.5872656410973364,0.6050721256087854,0.14286586804768944,0.37510608323524747,1.0473547273167325
rl_dqn,moving_obstacles_period_2,33,10,10,100,113.49801208914869,119.6394244880139,27.912631698374696,78.20943198930763,174.04422300205624,100,0.5044356092851053,0.531730775502284,0.12405614088166532,0.34759747550803394,0.7735298800091388
rl_dqn,moving_obstacles_period_2,44,10,10,100,136.10479331147872,126.596045010956,24.50832029738423,95.4228679966036,192.6990139982081,100,0.604910192495461,0.5626490889375823,0.10892586798837435,0.42410163554046043,0.8564400622142583
rl_dqn,moving_obstacles_period_2,55,10,10,100,5.925358380081889,6.057789499209321,2.673640362447951,1.4675670008728048,12.923017002322013,100,0.5673756317541616,0.507939636070825,0.1651755272457211,0.3506634002405917,1.0769180835268344
rl_dqn,moving_obstacles_period_2,all_seeds,10,10,500,77.6032645280975,103.73676199469628,62.045036190624735,1.4675670008728048,192.6990139982081,500,0.565295750277096,0.542294482208187,0.13342041464255858,0.34759747550803394,1.0769180835268344
rl_dqn,moving_obstacles_period_4,11,10,10,100,103.54474980935265,95.87120301512186,21.130306910066288,76.00232899676485,150.97521199459152,100,0.46019888804156733,0.42609423562276383,0.09391247515585016,0.33778812887451043,0.6710009421981845
