method,split,independent_units,scenarios_per_unit,success_rate_mean,success_rate_95ci,path_cost_gap_mean,path_cost_gap_95ci,compute_time_ms_mean,compute_time_ms_95ci,decision_latency_ms_mean,decision_latency_ms_95ci,steps_mean,steps_95ci,replans_mean,replans_95ci,node_expansions_mean,node_expansions_95ci
astar,changed_toggle_periods,30,1,1.0,0.0,0.0,0.0,0.4819406665966667,0.13907580940039815,0.15866380739333333,0.02460595293190808,8.066666666666666,0.9143039923830913,2.933333333333333,0.5453945712353876,32.36666666666667,9.603738766982307
astar,denser_unseen_layout,30,1,1.0,0.0,0.0,0.0,0.17747387000666667,0.04227375911916546,0.17747387000666667,0.04227375911916546,8.6,1.1913534552440093,1.0,0.0,20.866666666666667,5.315004487213737
astar,moving_obstacles_period_2,10,1,1.0,0.0,0.0,0.0,0.65644055984,0.2278657098462131,0.12016385264,0.03305344897143116,9.9,2.1180685955837184,5.1,1.0366506432409315,69.9,25.652082007210705
astar,moving_obstacles_period_4,10,1,1.0,0.0,0.0,0.0,0.26439454008,0.0996200858375554,0.10542706333,0.027518341762245577,8.2,1.4621618283209237,2.4,0.36940871778917994,27.4,11.436765038520821
astar,new_dynamic_obstacle_locations,30,1,1.0,0.0,0.0,0.0,0.19517581333333334,0.0465595061118962,0.10211478501666667,0.014145023961618885,7.366666666666666,0.8463051859299071,1.8,0.22787376602733792,19.966666666666665,4.806485558241959
astar,no_fly_hard,10,1,1.0,0.0,0.0,0.0,0.16503603996,0.07761078712596799,0.16503603996,0.07761078712596799,8.2,2.017706674229335,1.0,0.0,13.7,4.574929733823769
astar,no_fly_penalty,10,1,1.0,0.0,0.0,0.0,0.32732910997,0.13555659116485003,0.32732910997,0.13555659116485003,7.8,1.3404328443648983,1.0,0.0,15.9,5.304692895028259
astar,obstacle_density_10,10,1,1.0,0.0,0.0,0.0,0.17595707,0.06076697231538956,0.17595707,0.06076697231538956,8.5,1.7277510720682192,1.0,0.0,20.0,7.652795916145215
astar,obstacle_density_40,10,1,1.0,0.0,0.0,0.0,0.18992934997,0.0538250140093324,0.18992934997,0.0538250140093324,11.0,1.9371956590424115,1.0,0.0,24.0,6.992794168214505
astar,scale_100,10,1,1.0,0.0,0.0,0.0,3.56590258996,2.0537365048003227,3.56590258996,2.0537365048003227,57.2,12.998603431295743,1.0,0.0,275.3,89.49432887982378
astar,scale_15,10,1,1.0,0.0,0.0,0.0,0.31526991004,0.1191447907729489,0.31526991004,0.1191447907729489,9.0,2.078778974460037,1.0,0.0,19.5,7.816363163172902
astar,scale_30,10,1,1.0,0.0,0.0,0.0,0.51347678999,0.20989796042832864,0.51347678999,0.20989796042832864,17.8,4.694543889000434,1.0,0.0,54.6,26.31459174585669
astar,scale_50,10,1,1.0,0.0,0.0,0.0,0.97610695,0.6080803799447799,0.97610695,0.6080803799447799,25.8,7.6140624196807565,1.0,0.0,97.3,42.86978487742208
astar,seen_layout_unseen_pairs,30,1,1.0,0.0,0.0,0.0,0.15407926337666666,0.02493776338916337,0.15407926337666666,0.02493776338916337,8.0,0.7403462446818594,1.0,0.0,17.566666666666666,3.2636626441752115
astar,sensor_noise_p05,10,1,1.0,0.0,0.0,0.0,0.47011883993,0.17842639805487714,0.47011883993,0.17842639805487714,9.2,2.073301286481863,1.0,0.0,27.3,10.989780008677796
astar,sensor_noise_p10,10,1,1.0,0.0,0.0,0.0,0.31493595998,0.11174527913308357,0.31493595998,0.11174527913308357,8.4,2.241958926626473,1.0,0.0,18.7,5.937893241814192
