scenario_id,mode,grid_size,route_bucket,success,failure_label,immediate_invalid_action_crash,invalid_action_crash,collision,timeout,two_cell_oscillation,longer_loop,excessive_detour,decisions,path_cost,initial_astar_cost,path_cost_gap,mean_decision_latency_ms,episode_budget,budget_to_astar_cost_ratio,repeated_cell_count,dynamic_event_count
VAL-G100-SHORT-01,original,100,short,False,two_cell_oscillation,False,False,False,True,True,True,True,88,,21.899494936611667,,0.5093102293110199,88,4.018357512568988,70,16
VAL-G100-SHORT-01,posthoc_masked,100,short,False,two_cell_oscillation,False,False,False,True,True,True,True,88,,21.899494936611667,,0.03300341036678715,88,4.018357512568988,70,16
VAL-G100-SHORT-02,original,100,short,False,collision,False,True,True,False,False,False,False,4,,34.041630560342625,,2.894150005886331,137,4.02448407273418,1,1
VAL-G100-SHORT-02,posthoc_masked,100,short,False,two_cell_oscillation,False,False,False,True,True,True,True,137,,34.041630560342625,,0.04521094646685533,137,4.02448407273418,134,68
VAL-G100-SHORT-03,original,100,short,False,two_cell_oscillation,False,False,False,True,True,True,True,134,,33.28427124746191,,0.6059955148749164,134,4.0259256092385725,104,26
VAL-G100-SHORT-03,posthoc_masked,100,short,False,two_cell_oscillation,False,False,False,True,True,True,True,134,,33.28427124746191,,0.04293059464544058,134,4.0259256092385725,104,26
VAL-G100-MEDIUM-01,original,100,medium,False,longer_repeated_loop,False,False,False,True,False,True,True,169,,42.07106781186546,,2.7007189415362194,169,4.017012374293393,152,82
VAL-G100-MEDIUM-01,posthoc_masked,100,medium,False,longer_repeated_loop,False,False,False,True,False,True,True,169,,42.07106781186546,,0.05062248491676601,169,4.017012374293393,152,82
VAL-G100-MEDIUM-02,original,100,medium,False,collision,False,True,True,False,False,False,False,44,,48.11269837220807,,0.5642636361616579,193,4.0114150012314616,1,10
VAL-G100-MEDIUM-02,posthoc_masked,100,medium,False,two_cell_oscillation,False,False,False,True,True,True,True,193,,48.11269837220807,,0.06159741028544971,193,4.0114150012314616,138,45
VAL-G100-MEDIUM-03,original,100,medium,False,collision,False,True,True,False,False,False,False,16,,64.91168824543138,,0.5559687415370718,260,4.0054419631937295,1,7
VAL-G100-MEDIUM-03,posthoc_masked,100,medium,False,two_cell_oscillation,False,False,False,True,True,True,True,260,,64.91168824543138,,0.052334225844018735,260,4.0054419631937295,187,129
