scenario_id,mode,grid_size,route_bucket,success,failure_label,immediate_invalid_action_crash,invalid_action_crash,collision,timeout,two_cell_oscillation,longer_loop,excessive_detour,decisions,path_cost,initial_astar_cost,path_cost_gap,mean_decision_latency_ms,episode_budget,budget_to_astar_cost_ratio,repeated_cell_count,dynamic_event_count
EMPTY-G020-R050-goal_opposing,posthoc_masked,20,empty,True,success,False,False,False,False,False,False,False,10,14.142135623730955,14.142135623730955,0.0,0.046660006046295166,57,4.03050865276332,0,0
EMPTY-G020-R075-horizontal,original,20,empty,True,success,False,False,False,False,False,False,False,14,15.656854249492381,14.0,1.6568542494923815,0.4923214520593839,56,4.0,0,0
EMPTY-G020-R075-horizontal,posthoc_masked,20,empty,True,success,False,False,False,False,False,False,False,14,15.656854249492381,14.0,1.6568542494923815,0.0404357145141278,56,4.0,0,0
EMPTY-G020-R075-vertical,original,20,empty,True,success,False,False,False,False,False,False,False,14,16.485281374238575,14.0,2.485281374238575,0.6620428674588246,56,4.0,0,0
EMPTY-G020-R075-vertical,posthoc_masked,20,empty,True,success,False,False,False,False,False,False,False,14,16.485281374238575,14.0,2.485281374238575,0.03619285001020346,56,4.0,0,0
EMPTY-G020-R075-diagonal,original,20,empty,True,success,False,False,False,False,False,False,False,14,19.798989873223338,19.798989873223338,0.0,0.45182142639532685,80,4.0406101782088415,0,0
EMPTY-G020-R075-diagonal,posthoc_masked,20,empty,True,success,False,False,False,False,False,False,False,14,19.798989873223338,19.798989873223338,0.0,0.02807856903278402,80,4.0406101782088415,0,0
EMPTY-G020-R075-goal_opposing,original,20,empty,True,success,False,False,False,False,False,False,False,14,19.798989873223338,19.798989873223338,0.0,0.4696214372026069,80,4.0406101782088415,0,0
EMPTY-G020-R075-goal_opposing,posthoc_masked,20,empty,True,success,False,False,False,False,False,False,False,14,19.798989873223338,19.798989873223338,0.0,0.04805714291121278,80,4.0406101782088415,0,0
EMPTY-G020-R100-horizontal,original,20,empty,True,success,False,False,False,False,False,False,False,19,20.656854249492383,19.0,1.6568542494923832,0.47616316250672464,76,4.0,0,0
EMPTY-G020-R100-horizontal,posthoc_masked,20,empty,True,success,False,False,False,False,False,False,False,19,20.656854249492383,19.0,1.6568542494923832,0.04384737143194989,76,4.0,0,0
EMPTY-G020-R100-vertical,original,20,empty,True,success,False,False,False,False,False,False,False,19,21.485281374238575,19.0,2.485281374238575,0.6256894833457313,76,4.0,0,0
EMPTY-G020-R100-vertical,posthoc_masked,20,empty,True,success,False,False,False,False,False,False,False,19,21.485281374238575,19.0,2.485281374238575,0.042489466355427316,76,4.0,0,0
EMPTY-G020-R100-diagonal,original,20,empty,True,success,False,False,False,False,False,False,False,20,27.45584412271572,26.870057685088817,0.5857864376269042,0.5584549915511161,108,4.019343808849848,0,0
EMPTY-G020-R100-diagonal,posthoc_masked,20,empty,True,success,False,False,False,False,False,False,False,20,27.45584412271572,26.870057685088817,0.5857864376269042,0.03187501570209861,108,4.019343808849848,0,0
EMPTY-G020-R100-goal_opposing,original,20,empty,True,success,False,False,False,False,False,False,False,18,25.45584412271572,25.45584412271572,0.0,0.4692944478140109,102,4.006938426723767,0,0
EMPTY-G020-R100-goal_opposing,posthoc_masked,20,empty,True,success,False,False,False,False,False,False,False,18,25.45584412271572,25.45584412271572,0.0,0.0422777763257424,102,4.006938426723767,0,0
EMPTY-G030-R025-horizontal,original,30,empty,True,success,False,False,False,False,False,False,False,9,9.828427124746192,7.0,2.8284271247461916,0.6525000014031926,28,4.0,0,0
EMPTY-G030-R025-horizontal,posthoc_masked,30,empty,True,success,False,False,False,False,False,False,False,9,9.828427124746192,7.0,2.8284271247461916,0.04492224090629154,28,4.0,0,0
EMPTY-G030-R025-vertical,original,30,empty,True,success,False,False,False,False,False,False,False,7,9.485281374238571,7.0,2.4852813742385713,1.414571439714304,28,4.0,0,0
EMPTY-G030-R025-vertical,posthoc_masked,30,empty,True,success,False,False,False,False,False,False,False,7,9.485281374238571,7.0,2.4852813742385713,0.10627143949802433,28,4.0,0,0
EMPTY-G030-R025-diagonal,original,30,empty,True,success,False,False,False,False,False,False,False,7,9.899494936611667,9.899494936611667,0.0,0.7231857328276549,40,4.040610178208842,0,0
