scenario_id,grid_size,route_bucket,scenario_family,success,collision,timeout,two_cell_oscillation,longer_loop,excessive_detour,failure_label,post_change_completion,dynamic_event_count,path_cost,fresh_astar_cost,path_cost_gap,decisions,mean_decision_latency_ms,decision_computation_seconds,episode_computation_seconds
VAL2-G015-EMPTY-SHORT-01,15,short,empty,False,False,True,False,False,True,excessive_detour,,0,,3.0,,30,3.142399985032777,0.09427199955098331,0.14093370002228767
VAL2-G015-EMPTY-SHORT-02,15,short,empty,False,False,True,False,True,True,longer_repeated_loop,,0,,4.242640687119286,,30,2.1134333296989403,0.0634029998909682,0.08890259999316186
VAL2-G015-EMPTY-MEDIUM-01,15,medium,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,10.0,,40,2.885570004582405,0.1154228001832962,0.16892560000997037
VAL2-G015-EMPTY-MEDIUM-02,15,medium,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,7.82842712474619,,32,3.3315843757009134,0.10661070002242923,0.1596001998987049
VAL2-G015-EMPTY-LONG-01,15,long,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,14.485281374238571,,58,2.8963000031894652,0.16798540018498898,0.23934900003951043
VAL2-G015-EMPTY-LONG-02,15,long,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,12.485281374238571,,50,3.1676479941233993,0.15838239970616996,0.22313310008030385
VAL2-G015-RANDOM_STATIC-SHORT-01,15,short,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,4.414213562373095,,30,4.33058332807074,0.1299174998421222,0.18342730007134378
VAL2-G015-RANDOM_STATIC-SHORT-02,15,short,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,4.414213562373095,,30,5.483616659572969,0.16450849978718907,0.21581890003290027
VAL2-G015-RANDOM_STATIC-MEDIUM-01,15,medium,random_static,False,False,True,False,True,True,longer_repeated_loop,,0,,6.414213562373095,,30,5.557996667145441,0.16673990001436323,0.2194157000631094
VAL2-G015-RANDOM_STATIC-MEDIUM-02,15,medium,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,9.414213562373096,,38,5.063171048133977,0.19240049982909113,0.24763829994481057
VAL2-G015-RANDOM_STATIC-LONG-01,15,long,random_static,False,False,True,False,True,True,longer_repeated_loop,,0,,11.656854249492381,,47,3.159110632507091,0.14847819972783327,0.21585479995701462
VAL2-G015-RANDOM_STATIC-LONG-02,15,long,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,14.071067811865476,,57,3.442036837600825,0.19619609974324703,0.2759975999360904
VAL2-G015-STRUCTURED-SHORT-01,15,short,structured,False,False,True,False,False,True,excessive_detour,,0,,3.414213562373095,,30,4.305859981104732,0.12917579943314195,0.1824052999727428
VAL2-G015-STRUCTURED-SHORT-02,15,short,structured,False,False,True,True,True,True,two_cell_oscillation,,0,,3.0,,30,3.885906666982919,0.11657720000948757,0.164617000031285
VAL2-G015-STRUCTURED-MEDIUM-01,15,medium,structured,False,False,True,False,True,True,longer_repeated_loop,,0,,8.485281374238571,,34,3.4163088284378103,0.11615450016688555,0.16968049993738532
VAL2-G015-STRUCTURED-MEDIUM-02,15,medium,structured,False,False,True,True,True,True,two_cell_oscillation,,0,,6.0,,30,3.2813033166651926,0.09843909949995577,0.14841329993214458
VAL2-G015-STRUCTURED-LONG-01,15,long,structured,False,False,True,True,True,True,two_cell_oscillation,,0,,15.313708498984763,,62,2.71452903266876,0.1683008000254631,0.2348128999583423
VAL2-G015-STRUCTURED-LONG-02,15,long,structured,False,False,True,True,True,True,two_cell_oscillation,,0,,11.071067811865476,,45,2.2881222242075534,0.10296550008933991,0.14868330000899732
VAL2-G015-DYNAMIC-SHORT-01,15,short,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,9,,3.414213562373095,,30,2.6355033080714443,0.07906509924214333,0.1279446000698954
VAL2-G015-DYNAMIC-SHORT-02,15,short,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,8,,5.82842712474619,,30,2.6980733460125825,0.08094220038037747,0.13156450004316866
VAL2-G015-DYNAMIC-MEDIUM-01,15,medium,dynamic,False,False,True,False,True,True,longer_repeated_loop,False,12,,10.414213562373096,,42,2.8269595211549174,0.11873229988850653,0.21196190000046045
VAL2-G015-DYNAMIC-MEDIUM-02,15,medium,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,10,,8.485281374238571,,34,2.9103205922771904,0.09895090013742447,0.19069239997770637
VAL2-G015-DYNAMIC-LONG-01,15,long,dynamic,False,False,True,False,True,True,longer_repeated_loop,False,12,,10.899494936611667,,44,2.4832658977671103,0.10926369950175285,0.1807412999914959
VAL2-G015-DYNAMIC-LONG-02,15,long,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,13,,11.65685424949238,,47,2.491242556951623,0.11708840017672628,0.21906559995841235
VAL2-G030-EMPTY-SHORT-01,30,short,empty,False,False,True,False,True,True,longer_repeated_loop,,0,,7.414213562373095,,30,2.623076655436307,0.07869229966308922,0.1226997000630945
VAL2-G030-EMPTY-SHORT-02,30,short,empty,False,False,True,False,False,True,excessive_detour,,0,,8.485281374238571,,34,2.366317651809796,0.08045480016153306,0.12728349992539734
VAL2-G030-EMPTY-MEDIUM-01,30,medium,empty,False,False,True,False,True,True,longer_repeated_loop,,0,,20.72792206135786,,83,2.305530121056251,0.19135900004766881,0.2880565000232309
VAL2-G030-EMPTY-MEDIUM-02,30,medium,empty,False,False,True,False,True,True,longer_repeated_loop,,0,,17.82842712474619,,72,2.3503569536842406,0.16922570066526532,0.2601987000089139
VAL2-G030-EMPTY-LONG-01,30,long,empty,False,False,True,False,True,True,longer_repeated_loop,,0,,35.52691193458119,,143,3.2246671250689176,0.4611273988848552,0.6721335999900475
VAL2-G030-EMPTY-LONG-02,30,long,empty,False,False,True,False,True,True,longer_repeated_loop,,0,,25.899494936611667,,104,5.1793423156665925,0.5386516008293256,0.7719631999498233
VAL2-G030-RANDOM_STATIC-SHORT-01,30,short,random_static,False,False,True,False,False,True,excessive_detour,,0,,6.656854249492381,,30,3.558889993776878,0.10676669981330633,0.1661156000336632
VAL2-G030-RANDOM_STATIC-SHORT-02,30,short,random_static,False,False,True,False,True,True,longer_repeated_loop,,0,,10.82842712474619,,44,3.8844727334270086,0.17091680027078837,0.2584369999822229
VAL2-G030-RANDOM_STATIC-MEDIUM-01,30,medium,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,18.142135623730955,,73,5.946497259061936,0.4340942999115214,0.5941743000876158
