scenario_id,grid_size,route_bucket,scenario_family,success,collision,timeout,two_cell_oscillation,longer_loop,excessive_detour,failure_label,post_change_completion,dynamic_event_count,path_cost,fresh_astar_cost,path_cost_gap,decisions,mean_decision_latency_ms,decision_computation_seconds,episode_computation_seconds
VAL2-G050-DYNAMIC-LONG-02,50,long,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,49,,38.76955262170047,,156,3.095062811506721,0.4828297985950485,1.5001357999863103
VAL2-G100-EMPTY-SHORT-01,100,short,empty,False,False,True,False,False,True,excessive_detour,,0,,30.242640687119284,,121,3.50231652952392,0.4237803000723943,0.8652268999721855
VAL2-G100-EMPTY-SHORT-02,100,short,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,37.45584412271571,,150,2.622509334081163,0.39337640011217445,0.8945835999911651
VAL2-G100-EMPTY-MEDIUM-01,100,medium,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,45.84062043356593,,184,2.5542576103876145,0.469983400311321,0.9873652999522164
VAL2-G100-EMPTY-MEDIUM-02,100,medium,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,45.04163056034259,,181,2.2260154718378797,0.4029088004026562,0.8975718000438064
VAL2-G100-EMPTY-LONG-01,100,long,empty,False,False,True,False,True,True,longer_repeated_loop,,0,,122.48023074035505,,490,2.7708175430568507,1.3577005960978568,2.789105199975893
VAL2-G100-EMPTY-LONG-02,100,long,empty,False,False,True,False,True,True,longer_repeated_loop,,0,,78.69848480983494,,315,2.7207711116514273,0.8570429001701996,1.849837200017646
VAL2-G100-RANDOM_STATIC-SHORT-01,100,short,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,39.35533905932738,,158,2.2866670867498917,0.3612933997064829,0.8116127999965101
VAL2-G100-RANDOM_STATIC-SHORT-02,100,short,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,39.04163056034261,,157,3.5023885322319472,0.5498749995604157,1.1698153000324965
VAL2-G100-RANDOM_STATIC-MEDIUM-01,100,medium,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,62.15432893255066,,249,3.3515176724597633,0.834527900442481,1.751894999993965
VAL2-G100-RANDOM_STATIC-MEDIUM-02,100,medium,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,48.840620433565924,,196,2.3125428557918615,0.4532583997352049,1.021778600057587
VAL2-G100-RANDOM_STATIC-LONG-01,100,long,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,93.35533905932732,,374,2.2793494651771407,0.8524766999762505,1.9043364999815822
VAL2-G100-RANDOM_STATIC-LONG-02,100,long,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,76.04163056034257,,305,2.8766209862698786,0.877369400812313,1.8299114999826998
VAL2-G100-STRUCTURED-SHORT-01,100,short,structured,False,False,True,False,True,True,longer_repeated_loop,,0,,26.313708498984763,,106,2.60804433656751,0.27645269967615604,0.5952380000380799
VAL2-G100-STRUCTURED-SHORT-02,100,short,structured,False,False,True,True,True,True,two_cell_oscillation,,0,,36.41421356237309,,146,2.887972608234172,0.4216440008021891,0.9436523000476882
VAL2-G100-STRUCTURED-MEDIUM-01,100,medium,structured,False,False,True,False,True,True,longer_repeated_loop,,0,,43.313708498984745,,174,2.9621856366070096,0.5154203007696196,1.0814889000030234
VAL2-G100-STRUCTURED-MEDIUM-02,100,medium,structured,False,False,True,False,True,True,longer_repeated_loop,,0,,57.2132034355964,,229,2.620849780754621,0.6001745997928083,1.3247001999989152
VAL2-G100-STRUCTURED-LONG-01,100,long,structured,False,False,True,True,True,True,two_cell_oscillation,,0,,88.55634918610401,,355,2.780190986764788,0.9869678003014997,2.1086693999823183
VAL2-G100-STRUCTURED-LONG-02,100,long,structured,False,False,True,True,True,True,two_cell_oscillation,,0,,99.97056274847711,,400,2.2976065034163184,0.9190426013665274,2.0728441999526694
VAL2-G100-DYNAMIC-SHORT-01,100,short,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,13,,31.48528137423857,,126,2.535506346566041,0.31947379966732115,0.8501802000682801
VAL2-G100-DYNAMIC-SHORT-02,100,short,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,25,,20.970562748477146,,84,2.9153261899149845,0.2448873999528587,0.6581041000317782
VAL2-G100-DYNAMIC-MEDIUM-01,100,medium,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,79,,63.31370849898474,,254,2.411487006754651,0.6125176997156814,2.4720075000077486
VAL2-G100-DYNAMIC-MEDIUM-02,100,medium,dynamic,False,False,True,False,True,True,longer_repeated_loop,False,26,,58.65685424949237,,235,3.0543391493723746,0.7177697001025081,2.2118743000319228
VAL2-G100-DYNAMIC-LONG-01,100,long,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,132,,105.46803743153535,,422,2.7401706176783485,1.156352000660263,6.7752395999850705
VAL2-G100-DYNAMIC-LONG-02,100,long,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,42,,73.69848480983494,,295,2.8023745805435514,0.8267005012603477,3.050710599985905
